origination,city,km distance,latitude,longitude,num reviews,price,rating,Type
"Afton, IA",Waukee,71.29004795120849,41.614217012383,-93.8469657611114,2,-1,5.0,Optometrist
"Afton, IA",Des Moines,73.29181830033484,41.52572,-93.61865999999999,3,-1,4.5,Optometrist
"Afton, IA",West Des Moines,71.15153347326833,41.593509600000004,-93.7944446,8,-1,4.5,Optometrist
"Afton, IA",West Des Moines,68.01909773065685,41.561815,-93.79558399999999,17,-1,4.5,Optometrist
"Afton, IA",West Des Moines,74.21762530988568,41.598824,-93.732787,3,-1,5.0,Optometrist
"Afton, IA",West Des Moines,67.72059635719579,41.56269,-93.80553990000001,1,-1,5.0,Optometrist
"Afton, IA",West Des Moines,68.93710823251631,41.5600331,-93.7696884,3,-1,2.5,Optometrist
"Afton, IA",Urbandale,75.93787130257198,41.618146,-93.735617,2,2,5.0,Optometrist
"Afton, IA",West Des Moines,71.72694214107692,41.5716278,-93.73309240000002,4,-1,3.0,Optometrist
"Afton, IA",Des Moines,76.6133857625872,41.583853999999995,-93.651684,3,-1,5.0,Optometrist
"Afton, IA",Clive,71.94544439256134,41.601813,-93.794989,1,-1,5.0,Optometrist
"Afton, IA",West Des Moines,67.82246137672921,41.561324,-93.799231,3,-1,3.5,Optometrist
"Afton, IA",Osceola,34.0478038741046,41.02729,-93.789346,3,1,3.0,Gas Stations
"Afton, IA",De Soto,58.5971793931203,41.5376482,-94.01254509999998,2,2,2.0,Gas Stations
"Afton, IA",Eagleville,64.90454510313079,40.468629,-93.97896800000001,5,1,4.5,Gas Stations
"Afton, IA",Atlantic,80.78615391739955,41.48597196881379,-94.94643031636909,2,-1,1.0,Gas Stations
"Afton, IA",Des Moines,77.63290201977122,41.58683,-93.63655,5,1,4.5,Gas Stations
"Afton, IA",West Des Moines,68.17218476151521,41.5599312,-93.7874919,4,2,4.5,Gas Stations
"Afton, IA",West Des Moines,72.41440242650803,41.6001296,-93.7789262,3,1,4.5,Gas Stations
"Afton, IA",Adair,64.00904031277688,41.495762,-94.6431785,4,1,3.0,Gas Stations
"Afton, IA",Greenfield,37.392755619511846,41.30325,-94.4526,1,-1,4.0,Gas Stations
"Afton, IA",West Des Moines,70.21562662996733,41.5892921,-93.8078504,5,2,3.0,Gas Stations
"Afton, IA",Des Moines,78.36056222666787,41.593920000000004,-93.6345,3,1,5.0,Gas Stations
"Afton, IA",Des Moines,70.67571465961026,41.5117952904305,-93.6454126297028,1,1,3.0,Gas Stations
"Afton, IA",Eagleville,68.08648402023725,40.44705,-93.97598,2,-1,4.5,Gas Stations
"Afton, IA",Waukee,65.19355775834693,41.56527,-93.880197,3,2,4.5,Gas Stations
"Afton, IA",Clive,72.35897316685964,41.60107,-93.78218000000001,7,2,4.0,Gas Stations
"Afton, IA",West Des Moines,68.74833015202931,41.559795,-93.77346800000001,2,-1,5.0,Gas Stations
"Afton, IA",Humeston,61.4660389294191,40.857606,-93.4995549,1,-1,5.0,Gas Stations
"Afton, IA",Des Moines,80.36279406299826,41.593559899999995,-93.59464,1,1,4.0,Gas Stations
"Afton, IA",Des Moines,73.81351338200193,41.547992,-93.64461999999999,7,2,3.5,Gas Stations
"Afton, IA",Des Moines,80.42385959972147,41.600746,-93.605682,4,2,5.0,Gas Stations
"Afton, IA",Indianola,64.52356994644519,41.36155,-93.563393,1,-1,5.0,Dental
"Afton, IA",West Des Moines,69.18136691593601,41.56337,-93.77158,3,-1,5.0,Dental
"Afton, IA",West Des Moines,70.53448169486906,41.5853806,-93.7898102,5,-1,4.0,Dental
"Afton, IA",Urbandale,73.59707466383476,41.616641200000004,-93.7900338,4,-1,5.0,Dental
"Afton, IA",West Des Moines,70.42483882226671,41.584344282746294,-93.7891935557127,1,-1,5.0,Dental
"Afton, IA",West Des Moines,73.2401556622448,41.599800570472105,-93.7579457325697,2,-1,5.0,Dental
"Afton, IA",Clive,71.83236240137502,41.60158,-93.79727,6,-1,5.0,Dental
"Afton, IA",Urbandale,76.35945579580573,41.622240999999995,-93.734928,14,-1,4.0,Dental
"Afton, IA",Urbandale,73.50289594289924,41.61634,-93.79177,2,-1,5.0,Dental
"Afton, IA",Clive,74.09882866481986,41.614355100000004,-93.7710624,5,-1,4.0,Dental
"Afton, IA",Norwalk,67.33514353796231,41.49113,-93.67479,1,-1,5.0,Dental
"Afton, IA",West Des Moines,68.9898612379272,41.559855999999996,-93.768043,1,-1,5.0,Dental
"Afton, IA",West Des Moines,70.73400858442912,41.5706061,-93.7514045,1,-1,5.0,Dental
"Afton, IA",Des Moines,75.87252993054621,41.58565,-93.67016,3,-1,5.0,Dental
"Afton, IA",Des Moines,78.41059184026656,41.62904739379879,-93.7022171020508,2,-1,5.0,Dental
"Afton, IA",West Des Moines,70.13535484869948,41.5729221934079,-93.77043972761271,9,-1,4.5,Dental
"Afton, IA",Adel,66.69292127464311,41.6145130557861,-94.0228561531351,1,-1,5.0,Dental
"Afton, IA",West Des Moines,68.43152488719609,41.5637055,-93.7895741,3,-1,4.5,Dental
"Afton, IA",Des Moines,77.4597138487112,41.61527,-93.69471,1,-1,5.0,Dental
