address,category,city,km distance,latitude,longitude,name,num reviews,origination,permanently closed?,price,rating,state
"240 N 8th Ave E, Hartley, IA 51346",restaurant,Hartley,1.1225030201058714,43.1843496802291,-95.466468706727,Crazy Bob's,5,"Hartley, IA",False,2,3.0,IA
"50 2nd St SW, Hartley, IA 51346",restaurant,Hartley,0.009918583992880693,43.1787299530523,-95.4777916257762,Mae B,2,"Hartley, IA",False,-1,4.5,IA
"162 S Central Ave, Hartley, IA 51346",restaurant,Hartley,0.09128522406114019,43.1792199611664,-95.4769447445869,Red's Cafe & Catering,2,"Hartley, IA",False,-1,3.0,IA
"Everly, IA 51338",restaurant,Everly,12.571635617017193,43.159839630127,-95.3250274658203,Barb's Corner,1,"Hartley, IA",False,-1,5.0,IA
"120 W 7th St, Hwy 18, Sanborn, IA 51248",restaurant,Sanborn,14.543672508706972,43.1862120841907,-95.6569578770924,Jay's Restaurant and Lounge,4,"Hartley, IA",False,2,5.0,IA
"90 3rd St NW, Hartley, IA 51346",restaurant,Hartley,0.7158212235220884,43.1849556,-95.4782791,D-Lux Drive-In,3,"Hartley, IA",False,2,2.5,IA
"135 S Green Ave, Primghar, IA 51245",restaurant,Primghar,15.925905213980316,43.0868834,-95.6285349,Baxterz Bar & Grill,1,"Hartley, IA",False,-1,5.0,IA
"Royal, IA 51357",restaurant,Royal,20.151890281793218,43.06388,-95.28026,Royal Cafe,1,"Hartley, IA",False,-1,4.0,IA
"215 S Rerick Ave, Primghar, IA 51245",restaurant,Primghar,15.740584687571594,43.086071032491,-95.6246391404494,Shortee's Pit Stop,2,"Hartley, IA",False,1,3.5,IA
"107 W 7th St, Sanborn, IA 51248",restaurant,Sanborn,14.512420484890066,43.1857810545469,-95.6566045237823,Pizza Ranch,1,"Hartley, IA",False,-1,4.0,IA
"103 1st St SE, Primghar, IA 51245",restaurant,Primghar,15.953212235299667,43.0863609313965,-95.6268920898438,Pizza Ranch,1,"Hartley, IA",False,-1,2.0,IA
