,year,name,population,poverty-rate,pct-renter-occupied,median-gross-rent,median-household-income,median-property-value,rent-burden,pct-white,pct-af-am,pct-hispanic,pct-am-ind,pct-asian,pct-nh-pi,renter-occupied-households,eviction-filings,evictions,eviction-rate,eviction-filing-rate
0,2001,Lake Park,1023.0,5.79,17.42,338.0,35104.0,64000.0,18.7,98.92,0.0,0.39,0.0,0.1,0.0,78.0,0.0,0.0,0.0,0.0
1,2002,Lake Park,1023.0,5.79,17.42,338.0,35104.0,64000.0,18.7,98.92,0.0,0.39,0.0,0.1,0.0,78.0,1.0,1.0,1.27,1.27
2,2003,Lake Park,1023.0,5.79,17.42,338.0,35104.0,64000.0,18.7,98.92,0.0,0.39,0.0,0.1,0.0,77.0,0.0,0.0,0.0,0.0
3,2004,Lake Park,1023.0,5.79,17.42,338.0,35104.0,64000.0,18.7,98.92,0.0,0.39,0.0,0.1,0.0,77.0,1.0,0.0,0.0,1.28
4,2005,Lake Park,1047.0,2.32,19.96,548.0,44167.0,92000.0,16.4,97.33,0.0,0.67,0.0,0.0,1.15,76.0,0.0,0.0,0.0,0.0
5,2006,Lake Park,1047.0,2.32,19.96,548.0,44167.0,92000.0,16.4,97.33,0.0,0.67,0.0,0.0,1.15,75.0,3.0,1.0,1.32,3.95
6,2007,Lake Park,1047.0,2.32,19.96,548.0,44167.0,92000.0,16.4,97.33,0.0,0.67,0.0,0.0,1.15,75.0,1.0,1.0,1.32,1.32
7,2008,Lake Park,1047.0,2.32,19.96,548.0,44167.0,92000.0,16.4,97.33,0.0,0.67,0.0,0.0,1.15,74.0,0.0,0.0,0.0,0.0
8,2009,Lake Park,1047.0,2.32,19.96,548.0,44167.0,92000.0,16.4,97.33,0.0,0.67,0.0,0.0,1.15,74.0,0.0,0.0,0.0,0.0
9,2010,Lake Park,1105.0,0.0,15.23,603.0,53250.0,95700.0,17.4,98.01,0.0,1.0,0.0,0.0,0.0,73.0,1.0,1.0,1.35,1.35
10,2011,Lake Park,1112.0,2.59,27.33,623.0,58750.0,117700.0,19.1,99.19,0.0,0.54,0.0,0.0,0.0,75.0,1.0,1.0,1.32,1.32
11,2012,Lake Park,1112.0,2.59,27.33,623.0,58750.0,117700.0,19.1,99.19,0.0,0.54,0.0,0.0,0.0,76.0,0.0,0.0,0.0,0.0
12,2013,Lake Park,1112.0,2.59,27.33,623.0,58750.0,117700.0,19.1,99.19,0.0,0.54,0.0,0.0,0.0,78.0,1.0,1.0,1.27,1.27
13,2014,Lake Park,1112.0,2.59,27.33,623.0,58750.0,117700.0,19.1,99.19,0.0,0.54,0.0,0.0,0.0,79.0,0.0,0.0,0.0,0.0
14,2015,Lake Park,1112.0,2.59,27.33,623.0,58750.0,117700.0,19.1,99.19,0.0,0.54,0.0,0.0,0.0,81.0,1.0,1.0,1.22,1.22
15,2016,Lake Park,1112.0,2.59,27.33,623.0,58750.0,117700.0,19.1,99.19,0.0,0.54,0.0,0.0,0.0,82.0,3.0,2.0,2.41,3.61
