,year,name,population,poverty-rate,pct-renter-occupied,median-gross-rent,median-household-income,median-property-value,rent-burden,pct-white,pct-af-am,pct-hispanic,pct-am-ind,pct-asian,pct-nh-pi,renter-occupied-households,eviction-filings,evictions,eviction-rate,eviction-filing-rate
0,2000,Sibley,2796.0,4.79,25.24,397.0,33173.0,59300.0,24.2,96.42,0.21,2.22,0.32,0.32,0.0,286.0,0.0,0.0,0.0,0.0
1,2001,Sibley,2796.0,4.79,25.24,397.0,33173.0,59300.0,24.2,96.42,0.21,2.22,0.32,0.32,0.0,287.0,0.0,0.0,0.0,0.0
2,2002,Sibley,2796.0,4.79,25.24,397.0,33173.0,59300.0,24.2,96.42,0.21,2.22,0.32,0.32,0.0,288.0,0.0,0.0,0.0,0.0
3,2003,Sibley,2796.0,4.79,25.24,397.0,33173.0,59300.0,24.2,96.42,0.21,2.22,0.32,0.32,0.0,287.0,2.0,2.0,0.64,0.64
4,2004,Sibley,2796.0,4.79,25.24,397.0,33173.0,59300.0,24.2,96.42,0.21,2.22,0.32,0.32,0.0,288.0,2.0,2.0,0.67,0.67
5,2005,Sibley,2613.0,6.74,28.13,561.0,37107.0,71700.0,23.1,95.6,0.0,4.09,0.0,0.0,0.0,289.0,1.0,1.0,0.33,0.33
6,2006,Sibley,2613.0,6.74,28.13,561.0,37107.0,71700.0,23.1,95.6,0.0,4.09,0.0,0.0,0.0,289.0,0.0,0.0,0.0,0.0
7,2007,Sibley,2613.0,6.74,28.13,561.0,37107.0,71700.0,23.1,95.6,0.0,4.09,0.0,0.0,0.0,290.0,0.0,0.0,0.0,0.0
8,2008,Sibley,2613.0,6.74,28.13,561.0,37107.0,71700.0,23.1,95.6,0.0,4.09,0.0,0.0,0.0,290.0,0.0,0.0,0.0,0.0
9,2009,Sibley,2613.0,6.74,28.13,561.0,37107.0,71700.0,23.1,95.6,0.0,4.09,0.0,0.0,0.0,291.0,2.0,1.0,0.34,0.65
10,2010,Sibley,2798.0,8.87,25.67,608.0,40417.0,74500.0,28.2,87.28,0.18,11.44,0.18,0.46,0.0,292.0,1.0,1.0,0.33,0.33
11,2011,Sibley,2687.0,9.32,28.65,541.0,40602.0,82600.0,23.1,88.8,0.19,8.49,0.52,0.6,0.0,294.0,1.0,0.0,0.0,0.34
12,2012,Sibley,2687.0,9.32,28.65,541.0,40602.0,82600.0,23.1,88.8,0.19,8.49,0.52,0.6,0.0,296.0,0.0,0.0,0.0,0.0
13,2013,Sibley,2687.0,9.32,28.65,541.0,40602.0,82600.0,23.1,88.8,0.19,8.49,0.52,0.6,0.0,298.0,0.0,0.0,0.0,0.0
14,2014,Sibley,2687.0,9.32,28.65,541.0,40602.0,82600.0,23.1,88.8,0.19,8.49,0.52,0.6,0.0,299.0,1.0,1.0,0.32,0.32
15,2015,Sibley,2687.0,9.32,28.65,541.0,40602.0,82600.0,23.1,88.8,0.19,8.49,0.52,0.6,0.0,302.0,0.0,0.0,0.0,0.0
16,2016,Sibley,2687.0,9.32,28.65,541.0,40602.0,82600.0,23.1,88.8,0.19,8.49,0.52,0.6,0.0,303.0,0.0,0.0,0.0,0.0
