,year,name,population,poverty-rate,pct-renter-occupied,median-gross-rent,median-household-income,median-property-value,rent-burden,pct-white,pct-af-am,pct-hispanic,pct-am-ind,pct-asian,pct-nh-pi,renter-occupied-households,eviction-filings,evictions,eviction-rate,eviction-filing-rate
0,2000,Pomeroy,710.0,11.52,22.29,259.0,24531.0,40600.0,21.5,99.3,0.0,0.28,0.14,0.0,0.0,69.0,0.0,0.0,0.0,0.0
1,2001,Pomeroy,710.0,11.52,22.29,259.0,24531.0,40600.0,21.5,99.3,0.0,0.28,0.14,0.0,0.0,67.0,2.0,0.0,0.0,2.86
2,2002,Pomeroy,710.0,11.52,22.29,259.0,24531.0,40600.0,21.5,99.3,0.0,0.28,0.14,0.0,0.0,65.0,1.0,0.0,0.0,1.47
3,2003,Pomeroy,710.0,11.52,22.29,259.0,24531.0,40600.0,21.5,99.3,0.0,0.28,0.14,0.0,0.0,63.0,0.0,0.0,0.0,0.0
4,2004,Pomeroy,710.0,11.52,22.29,259.0,24531.0,40600.0,21.5,99.3,0.0,0.28,0.14,0.0,0.0,61.0,0.0,0.0,0.0,0.0
5,2005,Pomeroy,581.0,19.08,15.67,458.0,37500.0,41800.0,31.9,95.01,0.0,3.44,1.03,0.0,0.0,59.0,0.0,0.0,0.0,0.0
6,2006,Pomeroy,581.0,19.08,15.67,458.0,37500.0,41800.0,31.9,95.01,0.0,3.44,1.03,0.0,0.0,57.0,5.0,5.0,8.47,8.47
7,2007,Pomeroy,581.0,19.08,15.67,458.0,37500.0,41800.0,31.9,95.01,0.0,3.44,1.03,0.0,0.0,55.0,1.0,1.0,1.75,1.75
8,2008,Pomeroy,581.0,19.08,15.67,458.0,37500.0,41800.0,31.9,95.01,0.0,3.44,1.03,0.0,0.0,52.0,2.0,2.0,3.7,3.7
9,2009,Pomeroy,581.0,19.08,15.67,458.0,37500.0,41800.0,31.9,95.01,0.0,3.44,1.03,0.0,0.0,50.0,0.0,0.0,0.0,0.0
10,2010,Pomeroy,662.0,20.09,16.79,771.0,36136.0,45800.0,50.0,95.02,0.0,3.17,1.06,0.3,0.0,48.0,0.0,0.0,0.0,0.0
11,2011,Pomeroy,835.0,25.11,17.93,484.0,37986.0,52000.0,50.0,93.65,2.87,1.2,0.36,0.0,0.0,48.0,0.0,0.0,0.0,0.0
12,2012,Pomeroy,835.0,25.11,17.93,484.0,37986.0,52000.0,50.0,93.65,2.87,1.2,0.36,0.0,0.0,48.0,0.0,0.0,0.0,0.0
13,2013,Pomeroy,835.0,25.11,17.93,484.0,37986.0,52000.0,50.0,93.65,2.87,1.2,0.36,0.0,0.0,48.0,0.0,0.0,0.0,0.0
14,2014,Pomeroy,835.0,25.11,17.93,484.0,37986.0,52000.0,50.0,93.65,2.87,1.2,0.36,0.0,0.0,47.0,0.0,0.0,0.0,0.0
15,2015,Pomeroy,835.0,25.11,17.93,484.0,37986.0,52000.0,50.0,93.65,2.87,1.2,0.36,0.0,0.0,47.0,2.0,1.0,2.04,4.08
16,2016,Pomeroy,835.0,25.11,17.93,484.0,37986.0,52000.0,50.0,93.65,2.87,1.2,0.36,0.0,0.0,47.0,0.0,0.0,0.0,0.0
