,year,name,population,poverty-rate,pct-renter-occupied,median-gross-rent,median-household-income,median-property-value,rent-burden,pct-white,pct-af-am,pct-hispanic,pct-am-ind,pct-asian,pct-nh-pi,renter-occupied-households,eviction-filings,evictions,eviction-rate,eviction-filing-rate
0,2000,Fontanelle,692.0,5.84,18.69,292.0,31328.0,47300.0,14.1,98.99,0.0,0.58,0.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0
1,2001,Fontanelle,692.0,5.84,18.69,292.0,31328.0,47300.0,14.1,98.99,0.0,0.58,0.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0
2,2002,Fontanelle,692.0,5.84,18.69,292.0,31328.0,47300.0,14.1,98.99,0.0,0.58,0.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0
3,2003,Fontanelle,692.0,5.84,18.69,292.0,31328.0,47300.0,14.1,98.99,0.0,0.58,0.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0
4,2004,Fontanelle,692.0,5.84,18.69,292.0,31328.0,47300.0,14.1,98.99,0.0,0.58,0.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0
5,2005,Fontanelle,620.0,1.82,22.95,529.0,34408.0,60600.0,19.7,98.55,0.0,1.45,0.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0
6,2006,Fontanelle,620.0,1.82,22.95,529.0,34408.0,60600.0,19.7,98.55,0.0,1.45,0.0,0.0,0.0,51.0,1.0,1.0,1.39,1.39
7,2007,Fontanelle,620.0,1.82,22.95,529.0,34408.0,60600.0,19.7,98.55,0.0,1.45,0.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0
8,2008,Fontanelle,620.0,1.82,22.95,529.0,34408.0,60600.0,19.7,98.55,0.0,1.45,0.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0
9,2009,Fontanelle,620.0,1.82,22.95,529.0,34408.0,60600.0,19.7,98.55,0.0,1.45,0.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0
10,2010,Fontanelle,672.0,3.87,18.75,507.0,37045.0,62100.0,22.7,99.26,0.0,0.6,0.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0
11,2011,Fontanelle,667.0,6.98,19.23,537.0,38958.0,62900.0,25.0,97.0,0.0,2.55,0.0,0.3,0.0,52.0,0.0,0.0,0.0,0.0
12,2012,Fontanelle,667.0,6.98,19.23,537.0,38958.0,62900.0,25.0,97.0,0.0,2.55,0.0,0.3,0.0,53.0,0.0,0.0,0.0,0.0
13,2013,Fontanelle,667.0,6.98,19.23,537.0,38958.0,62900.0,25.0,97.0,0.0,2.55,0.0,0.3,0.0,54.0,0.0,0.0,0.0,0.0
14,2014,Fontanelle,667.0,6.98,19.23,537.0,38958.0,62900.0,25.0,97.0,0.0,2.55,0.0,0.3,0.0,55.0,0.0,0.0,0.0,0.0
15,2015,Fontanelle,667.0,6.98,19.23,537.0,38958.0,62900.0,25.0,97.0,0.0,2.55,0.0,0.3,0.0,56.0,1.0,1.0,1.28,1.28
16,2016,Fontanelle,667.0,6.98,19.23,537.0,38958.0,62900.0,25.0,97.0,0.0,2.55,0.0,0.3,0.0,56.0,0.0,0.0,0.0,0.0
