,year,name,population,poverty-rate,pct-renter-occupied,median-gross-rent,median-household-income,median-property-value,rent-burden,pct-white,pct-af-am,pct-hispanic,pct-am-ind,pct-asian,pct-nh-pi,renter-occupied-households,eviction-filings,evictions,eviction-rate,eviction-filing-rate
0,2001,Buffalo Center,963.0,9.01,15.05,323.0,30694.0,36800.0,17.1,97.09,0.0,2.6,0.0,0.31,0.0,75.0,0.0,0.0,0.0,0.0
1,2002,Buffalo Center,963.0,9.01,15.05,323.0,30694.0,36800.0,17.1,97.09,0.0,2.6,0.0,0.31,0.0,75.0,1.0,1.0,1.18,1.18
2,2003,Buffalo Center,963.0,9.01,15.05,323.0,30694.0,36800.0,17.1,97.09,0.0,2.6,0.0,0.31,0.0,75.0,0.0,0.0,0.0,0.0
3,2004,Buffalo Center,963.0,9.01,15.05,323.0,30694.0,36800.0,17.1,97.09,0.0,2.6,0.0,0.31,0.0,75.0,0.0,0.0,0.0,0.0
4,2005,Buffalo Center,1071.0,6.11,28.95,479.0,28625.0,53100.0,23.0,86.65,0.0,11.2,0.0,0.0,0.0,75.0,1.0,1.0,1.18,1.18
5,2006,Buffalo Center,1071.0,6.11,28.95,479.0,28625.0,53100.0,23.0,86.65,0.0,11.2,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0
6,2007,Buffalo Center,1071.0,6.11,28.95,479.0,28625.0,53100.0,23.0,86.65,0.0,11.2,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0
7,2008,Buffalo Center,1071.0,6.11,28.95,479.0,28625.0,53100.0,23.0,86.65,0.0,11.2,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0
8,2009,Buffalo Center,1071.0,6.11,28.95,479.0,28625.0,53100.0,23.0,86.65,0.0,11.2,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0
9,2010,Buffalo Center,905.0,16.41,18.52,500.0,31875.0,55800.0,25.0,92.93,0.0,5.97,0.55,0.22,0.0,75.0,0.0,0.0,0.0,0.0
10,2011,Buffalo Center,886.0,11.52,19.46,570.0,41087.0,58800.0,21.9,96.73,0.9,0.0,0.0,0.0,0.0,76.0,0.0,0.0,0.0,0.0
11,2012,Buffalo Center,886.0,11.52,19.46,570.0,41087.0,58800.0,21.9,96.73,0.9,0.0,0.0,0.0,0.0,78.0,1.0,0.0,0.0,1.14
12,2013,Buffalo Center,886.0,11.52,19.46,570.0,41087.0,58800.0,21.9,96.73,0.9,0.0,0.0,0.0,0.0,79.0,1.0,1.0,1.12,1.12
13,2014,Buffalo Center,886.0,11.52,19.46,570.0,41087.0,58800.0,21.9,96.73,0.9,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0
14,2015,Buffalo Center,886.0,11.52,19.46,570.0,41087.0,58800.0,21.9,96.73,0.9,0.0,0.0,0.0,0.0,81.0,1.0,1.0,1.09,1.09
15,2016,Buffalo Center,886.0,11.52,19.46,570.0,41087.0,58800.0,21.9,96.73,0.9,0.0,0.0,0.0,0.0,82.0,0.0,0.0,0.0,0.0
