GEOID,year,name,parent-location,population,poverty-rate,pct-renter-occupied,median-gross-rent,median-household-income,median-property-value,rent-burden,pct-white,pct-af-am,pct-hispanic,pct-am-ind,pct-asian,pct-nh-pi,pct-multiple,pct-other,renter-occupied-households,eviction-filings,evictions,eviction-rate,eviction-filing-rate,imputed,subbed
1900190,2000,Ackley,Iowa,1809.0,8.31,20.44,368.0,36250.0,48700.0,19.9,90.88,0.17,8.24,0.0,0.28,0.06,0.39,0.0,151.0,0.0,0.0,0.0,0.0,0,0
1900190,2001,Ackley,Iowa,1809.0,8.31,20.44,368.0,36250.0,48700.0,19.9,90.88,0.17,8.24,0.0,0.28,0.06,0.39,0.0,149.0,1.0,0.0,0.0,0.41,0,0
1900190,2002,Ackley,Iowa,1809.0,8.31,20.44,368.0,36250.0,48700.0,19.9,90.88,0.17,8.24,0.0,0.28,0.06,0.39,0.0,148.0,2.0,2.0,1.08,1.08,0,0
1900190,2003,Ackley,Iowa,1809.0,8.31,20.44,368.0,36250.0,48700.0,19.9,90.88,0.17,8.24,0.0,0.28,0.06,0.39,0.0,146.0,1.0,1.0,0.42,0.42,0,0
1900190,2004,Ackley,Iowa,1809.0,8.31,20.44,368.0,36250.0,48700.0,19.9,90.88,0.17,8.24,0.0,0.28,0.06,0.39,0.0,143.0,1.0,1.0,0.04,0.04,0,0
1900190,2005,Ackley,Iowa,1773.0,7.41,22.48,439.0,39279.0,67800.0,27.6,91.31,0.0,7.67,0.0,0.39,0.0,0.62,0.0,143.0,1.0,1.0,0.46,0.46,0,0
1900190,2006,Ackley,Iowa,1773.0,7.41,22.48,439.0,39279.0,67800.0,27.6,91.31,0.0,7.67,0.0,0.39,0.0,0.62,0.0,140.0,1.0,1.0,0.47,0.47,0,0
1900190,2007,Ackley,Iowa,1773.0,7.41,22.48,439.0,39279.0,67800.0,27.6,91.31,0.0,7.67,0.0,0.39,0.0,0.62,0.0,138.0,1.0,1.0,0.04,0.04,0,0
1900190,2008,Ackley,Iowa,1773.0,7.41,22.48,439.0,39279.0,67800.0,27.6,91.31,0.0,7.67,0.0,0.39,0.0,0.62,0.0,135.0,3.0,3.0,1.99,1.99,0,0
1900190,2009,Ackley,Iowa,1773.0,7.41,22.48,439.0,39279.0,67800.0,27.6,91.31,0.0,7.67,0.0,0.39,0.0,0.62,0.0,135.0,2.0,2.0,1.59,1.59,0,0
