,year,name,population,poverty-rate,pct-renter-occupied,median-gross-rent,median-household-income,median-property-value,rent-burden,pct-white,pct-af-am,pct-hispanic,pct-am-ind,pct-asian,pct-nh-pi,renter-occupied-households,eviction-filings,evictions,eviction-rate,eviction-filing-rate
0,2000,Le Mars,9237.0,6.25,27.97,404.0,38892.0,92600.0,23.5,95.81,0.45,2.44,0.15,0.3,0.09,1007.0,2.0,2.0,0.19,0.19
1,2001,Le Mars,9237.0,6.25,27.97,404.0,38892.0,92600.0,23.5,95.81,0.45,2.44,0.15,0.3,0.09,1025.0,6.0,5.0,0.47,0.57
2,2002,Le Mars,9237.0,6.25,27.97,404.0,38892.0,92600.0,23.5,95.81,0.45,2.44,0.15,0.3,0.09,1043.0,5.0,1.0,0.09,0.46
3,2003,Le Mars,9237.0,6.25,27.97,404.0,38892.0,92600.0,23.5,95.81,0.45,2.44,0.15,0.3,0.09,1060.0,17.0,10.0,0.91,1.65
4,2004,Le Mars,9237.0,6.25,27.97,404.0,38892.0,92600.0,23.5,95.81,0.45,2.44,0.15,0.3,0.09,1079.0,13.0,13.0,1.16,1.16
5,2005,Le Mars,9171.0,2.37,23.7,509.0,49542.0,113100.0,21.1,91.88,0.28,4.67,0.15,0.71,0.0,1098.0,4.0,4.0,0.35,0.35
6,2006,Le Mars,9171.0,2.37,23.7,509.0,49542.0,113100.0,21.1,91.88,0.28,4.67,0.15,0.71,0.0,1114.0,12.0,11.0,0.96,1.05
7,2007,Le Mars,9171.0,2.37,23.7,509.0,49542.0,113100.0,21.1,91.88,0.28,4.67,0.15,0.71,0.0,1133.0,10.0,9.0,0.77,0.85
8,2008,Le Mars,9171.0,2.37,23.7,509.0,49542.0,113100.0,21.1,91.88,0.28,4.67,0.15,0.71,0.0,1150.0,2.0,2.0,0.17,0.17
9,2009,Le Mars,9171.0,2.37,23.7,509.0,49542.0,113100.0,21.1,91.88,0.28,4.67,0.15,0.71,0.0,1168.0,11.0,10.0,0.83,0.91
10,2010,Le Mars,9826.0,2.82,29.78,579.0,52599.0,123200.0,22.6,92.12,0.51,5.39,0.24,0.74,0.02,1186.0,11.0,8.0,0.66,0.9
11,2011,Le Mars,9757.0,7.89,25.48,513.0,50283.0,134200.0,25.5,91.58,1.06,4.4,0.25,0.26,0.63,1196.0,6.0,6.0,0.49,0.49
12,2012,Le Mars,9757.0,7.89,25.48,513.0,50283.0,134200.0,25.5,91.58,1.06,4.4,0.25,0.26,0.63,1209.0,6.0,4.0,0.32,0.48
13,2013,Le Mars,9757.0,7.89,25.48,513.0,50283.0,134200.0,25.5,91.58,1.06,4.4,0.25,0.26,0.63,1223.0,4.0,2.0,0.16,0.32
14,2014,Le Mars,9757.0,7.89,25.48,513.0,50283.0,134200.0,25.5,91.58,1.06,4.4,0.25,0.26,0.63,1232.0,12.0,9.0,0.77,1.0
15,2015,Le Mars,9757.0,7.89,25.48,513.0,50283.0,134200.0,25.5,91.58,1.06,4.4,0.25,0.26,0.63,1246.0,8.0,6.0,0.47,0.63
16,2016,Le Mars,9757.0,7.89,25.48,513.0,50283.0,134200.0,25.5,91.58,1.06,4.4,0.25,0.26,0.63,1256.0,7.0,7.0,0.54,0.54
