,year,name,population,poverty-rate,pct-renter-occupied,median-gross-rent,median-household-income,median-property-value,rent-burden,pct-white,pct-af-am,pct-hispanic,pct-am-ind,pct-asian,pct-nh-pi,renter-occupied-households,eviction-filings,evictions,eviction-rate,eviction-filing-rate
0,2000,What Cheer,678.0,11.24,14.01,325.0,27292.0,23900.0,22.5,98.08,0.0,0.44,0.29,0.0,0.0,44.0,0.0,0.0,0.0,0.0
1,2001,What Cheer,678.0,11.24,14.01,325.0,27292.0,23900.0,22.5,98.08,0.0,0.44,0.29,0.0,0.0,45.0,4.0,4.0,8.33,8.33
2,2002,What Cheer,678.0,11.24,14.01,325.0,27292.0,23900.0,22.5,98.08,0.0,0.44,0.29,0.0,0.0,47.0,1.0,1.0,2.0,2.0
3,2003,What Cheer,678.0,11.24,14.01,325.0,27292.0,23900.0,22.5,98.08,0.0,0.44,0.29,0.0,0.0,48.0,4.0,1.0,1.96,7.84
4,2004,What Cheer,678.0,11.24,14.01,325.0,27292.0,23900.0,22.5,98.08,0.0,0.44,0.29,0.0,0.0,49.0,1.0,1.0,1.92,1.92
5,2005,What Cheer,650.0,18.72,30.13,455.0,26136.0,32800.0,27.0,98.92,0.0,0.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0
6,2006,What Cheer,650.0,18.72,30.13,455.0,26136.0,32800.0,27.0,98.92,0.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0
7,2007,What Cheer,650.0,18.72,30.13,455.0,26136.0,32800.0,27.0,98.92,0.0,0.0,0.0,0.0,0.0,53.0,1.0,1.0,1.79,1.79
8,2008,What Cheer,650.0,18.72,30.13,455.0,26136.0,32800.0,27.0,98.92,0.0,0.0,0.0,0.0,0.0,54.0,1.0,1.0,1.75,1.75
9,2009,What Cheer,650.0,18.72,30.13,455.0,26136.0,32800.0,27.0,98.92,0.0,0.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0
10,2010,What Cheer,646.0,21.88,19.8,434.0,30357.0,36800.0,26.8,98.61,0.0,0.15,0.15,0.15,0.0,57.0,0.0,0.0,0.0,0.0
11,2011,What Cheer,701.0,24.1,28.33,426.0,31518.0,35000.0,21.7,98.43,0.0,1.43,0.0,0.0,0.0,58.0,1.0,1.0,1.64,1.64
12,2012,What Cheer,701.0,24.1,28.33,426.0,31518.0,35000.0,21.7,98.43,0.0,1.43,0.0,0.0,0.0,58.0,1.0,1.0,1.61,1.61
13,2013,What Cheer,701.0,24.1,28.33,426.0,31518.0,35000.0,21.7,98.43,0.0,1.43,0.0,0.0,0.0,59.0,2.0,1.0,1.59,3.17
14,2014,What Cheer,701.0,24.1,28.33,426.0,31518.0,35000.0,21.7,98.43,0.0,1.43,0.0,0.0,0.0,59.0,1.0,1.0,1.59,1.59
15,2015,What Cheer,701.0,24.1,28.33,426.0,31518.0,35000.0,21.7,98.43,0.0,1.43,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0
16,2016,What Cheer,701.0,24.1,28.33,426.0,31518.0,35000.0,21.7,98.43,0.0,1.43,0.0,0.0,0.0,61.0,2.0,0.0,0.0,3.08
