,city name,work city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,log(total jobs),x,y
57964,"Perry, IA","Newton, IA",7,6,3,3,10,3,10,4,2,16,3.772588722239781,-93.057968,41.692831999999996
57896,"Perry, IA","De Soto, IA",4,8,4,3,10,3,6,8,2,16,3.772588722239781,-94.012762,41.503191
57877,"Perry, IA","Cedar Falls, IA",6,6,3,3,6,6,6,2,7,15,3.70805020110221,-92.44415599999999,42.536881
57892,"Perry, IA","Dallas Center, IA",2,13,0,2,4,9,2,8,5,15,3.70805020110221,-94.033046,41.682353
57848,"Perry, IA","Altoona, IA",6,8,1,0,6,9,7,6,2,15,3.70805020110221,-93.50309399999999,41.658538
57998,"Perry, IA","Sioux City, IA",6,7,0,0,8,5,7,3,3,13,3.5649493574615367,-96.410568,42.495311
57954,"Perry, IA","Mason City, IA",4,6,3,0,10,3,5,2,6,13,3.5649493574615367,-93.260818,43.097491
57913,"Perry, IA","Fort Dodge, IA",3,8,2,2,6,5,2,4,7,13,3.5649493574615367,-94.235692,42.529666999999996
57906,"Perry, IA","Eldridge, IA",2,9,1,4,5,3,1,4,7,12,3.4849066497880004,-90.56989899999999,41.596274
58032,"Perry, IA","Woodward, IA",1,7,2,0,10,0,2,7,1,10,3.302585092994046,-93.91238,41.863397
57942,"Perry, IA","Lakeside, IA",2,7,0,8,0,1,0,9,0,9,3.1972245773362196,-95.171343,42.640946
57886,"Perry, IA","Coralville, IA",3,4,2,0,5,4,4,4,1,9,3.1972245773362196,-91.609286,41.657132
57874,"Perry, IA","Carroll, IA",0,7,2,1,3,5,2,5,2,9,3.1972245773362196,-94.89798499999999,42.071829
57907,"Perry, IA","Elk Run Heights, IA",2,5,1,6,2,0,1,5,2,8,3.0794415416798357,-92.263863,42.448564999999995
57932,"Perry, IA","Indianola, IA",2,4,1,1,4,2,4,3,0,7,2.9459101490553135,-93.558301,41.356224
58031,"Perry, IA","Winterset, IA",1,5,1,1,0,6,3,2,2,7,2.9459101490553135,-94.018344,41.326369
57925,"Perry, IA","Guthrie Center, IA",2,5,0,1,6,0,1,1,5,7,2.9459101490553135,-94.512475,41.674765
57968,"Perry, IA","Osceola, IA",0,4,3,3,4,0,0,5,2,7,2.9459101490553135,-93.777974,41.104811
57962,"Perry, IA","Nevada, IA",2,2,3,2,4,1,4,3,0,7,2.9459101490553135,-93.405659,42.022607
57935,"Perry, IA","Jefferson, IA",2,2,3,2,5,0,4,3,0,7,2.9459101490553135,-94.396575,41.979164
57910,"Perry, IA","Exira, IA",1,6,0,7,0,0,0,5,2,7,2.9459101490553135,-94.744213,41.631099
57921,"Perry, IA","Granger, IA",1,4,1,1,3,2,1,4,1,6,2.791759469228055,-93.901907,41.761032
58022,"Perry, IA","Waverly, IA",4,1,1,1,3,2,2,4,0,6,2.791759469228055,-92.471983,42.725764
57930,"Perry, IA","Huxley, IA",2,3,1,1,5,0,2,1,3,6,2.791759469228055,-93.610342,41.910671
57941,"Perry, IA","Knoxville, IA",2,2,2,5,1,0,0,0,6,6,2.791759469228055,-93.030379,41.248239
57911,"Perry, IA","Fairfax, IA",1,5,0,1,2,3,1,3,2,6,2.791759469228055,-91.755393,41.940785999999996
57970,"Perry, IA","Ottumwa, IA",0,4,2,3,1,2,0,3,3,6,2.791759469228055,-92.420069,40.994803
57885,"Perry, IA","Coon Rapids, IA",0,6,0,6,0,0,0,6,0,6,2.791759469228055,-94.629345,41.950505
57884,"Perry, IA","Conesville, IA",3,2,1,6,0,0,1,5,0,6,2.791759469228055,-91.33787699999999,41.335874
57872,"Perry, IA","Burlington, IA",3,2,0,1,3,1,3,0,2,5,2.6094379124341005,-91.12314599999999,40.800259
57974,"Perry, IA","Panora, IA",4,0,1,0,1,4,3,1,1,5,2.6094379124341005,-94.38277,41.707847
57975,"Perry, IA","Patterson, IA",2,2,1,3,1,1,2,2,1,5,2.6094379124341005,-93.95483,41.420063999999996
