,index,0
0,191530009014,"Windsor Heights, IA"
1,191530009011,"Windsor Heights, IA"
2,191530009013,"Windsor Heights, IA"
3,191530009012,"Windsor Heights, IA"
4,191550301001,"Council Bluffs, IA"
5,191550301003,"Council Bluffs, IA"
6,191550301002,"Council Bluffs, IA"
7,191550301005,"Council Bluffs, IA"
8,191550301004,"Council Bluffs, IA"
9,191630107001,"Davenport, IA"
10,191630107002,"Davenport, IA"
11,190899603003,"Lime Springs, IA"
12,190899603002,"Elma, IA"
13,190899603001,"Riceville, IA"
14,190979505004,"Maquoketa, IA"
15,190570007002,"Burlington, IA"
16,190570007001,"Burlington, IA"
17,191250301002,"Monroe, IA"
18,191250301003,"Pleasantville, IA"
19,191530027004,"Des Moines, IA"
20,191250301001,"Pella, IA"
21,191530027002,"Des Moines, IA"
22,191530027003,"Des Moines, IA"
23,191250301004,"Pleasantville, IA"
24,191250301005,"Pleasantville, IA"
25,191712903002,"Gladbrook, IA"
26,191530049002,"Des Moines, IA"
27,191630135002,"Bettendorf, IA"
28,190430706001,"Volga, IA"
29,190430706002,"Edgewood, IA"
30,190430706003,"Strawberry Point, IA"
31,191390503003,"West Liberty, IA"
32,191390503002,"West Liberty, IA"
33,191390503001,"West Liberty, IA"
34,190719701002,"Riverton, IA"
35,191390503004,"Nichols, IA"
36,190291902003,"Grant, IA"
37,190291902002,"Griswold, IA"
38,190291902001,"Lewis, IA"
39,191930021013,"Sergeant Bluff, IA"
40,191930021012,"Sioux City, IA"
41,191930021011,"Sioux City, IA"
42,191610804001,"Sac City, IA"
43,191610804002,"Sac City, IA"
44,191610804003,"Sac City, IA"
45,191610804004,"Sac City, IA"
46,190930901002,"Holstein, IA"
47,190610106002,"Sherrill, IA"
48,190610106003,"Rickardsville, IA"
49,190610106001,"Sherrill, IA"
50,190079505003,"Numa, IA"
51,191050705003,"Wyoming, IA"
52,191530032001,"Des Moines, IA"
53,191530032002,"West Des Moines, IA"
54,191630126012,"Davenport, IA"
55,191114911002,"Fort Madison, IA"
56,191114911003,"Fort Madison, IA"
57,191114911001,"Fort Madison, IA"
58,190979502002,"La Motte, IA"
59,190979502003,"Andrew, IA"
60,191130106002,"Marion, IA"
61,190979502001,"St. Donatus, IA"
62,191550311003,"Council Bluffs, IA"
63,190834801001,"Ackley, IA"
64,190799604005,"Webster City, IA"
65,190799604004,"Webster City, IA"
66,190799604001,"Webster City, IA"
67,190799604003,"Webster City, IA"
68,190799604002,"Webster City, IA"
69,190291905002,"Atlantic, IA"
70,190279606001,"Manning, IA"
71,190279606002,"Manning, IA"
72,190291905001,"Atlantic, IA"
73,191630131001,"Bettendorf, IA"
74,191530027001,"Des Moines, IA"
75,191030002002,"Coralville, IA"
76,191030002003,"Coralville, IA"
77,190130015011,"Waterloo, IA"
78,191030002001,"Coralville, IA"
79,191690106003,"Story City, IA"
80,191630135001,"Bettendorf, IA"
81,190079502002,"Mystic, IA"
82,190079502001,"Mystic, IA"
83,191499702004,"Le Mars, IA"
84,191530107023,"Mitchellville, IA"
85,191499702001,"Le Mars, IA"
86,191499702002,"Le Mars, IA"
87,191499702003,"Le Mars, IA"
88,191530049001,"Des Moines, IA"
89,191930014004,"Sioux City, IA"
90,191930014005,"Sioux City, IA"
91,191630129013,"Davenport, IA"
92,191930014001,"Sioux City, IA"
93,191630129011,"Bettendorf, IA"
94,191930014003,"Sioux City, IA"
95,191690001001,"Gilbert, IA"
96,191690101001,"Slater, IA"
97,191630125022,"Davenport, IA"
98,191630128011,"Davenport, IA"
99,191630128012,"Davenport, IA"
100,191630125021,"Davenport, IA"
101,190450005002,"Clinton, IA"
102,190450005003,"Clinton, IA"
103,190450005001,"Clinton, IA"
104,190470703001,"Charter Oak, IA"
105,190450005004,"Clinton, IA"
106,191690104003,"Nevada, IA"
107,191690104002,"Nevada, IA"
108,191690104001,"Nevada, IA"
109,191530111123,"Clive, IA"
110,191630131002,"Bettendorf, IA"
111,190719701001,"Randolph, IA"
112,190650806002,"Clermont, IA"
113,191530108031,"Pleasant Hill, IA"
114,190199504002,"Independence, IA"
115,191010904003,"Fairfield, IA"
116,190199504001,"Independence, IA"
117,190150206001,"Luther, IA"
118,190730801003,"Grand Junction, IA"
119,191690013013,"Ames, IA"
120,190130007001,"Waterloo, IA"
121,191630102011,"Eldridge, IA"
122,191630102012,"Eldridge, IA"
123,191630102013,"Eldridge, IA"
124,190130011001,"Waterloo, IA"
125,190130011002,"Waterloo, IA"
126,191530110271,"Clive, IA"
127,191530110272,"Clive, IA"
128,191530110273,"Clive, IA"
129,190430701001,"Clayton, IA"
130,190610001001,"Dubuque, IA"
131,190430701003,"Marquette, IA"
132,190430701002,"Farmersburg, IA"
133,191751902002,"Creston, IA"
134,190490509023,"Van Meter, IA"
135,190490509022,"Waukee, IA"
136,190490509021,"De Soto, IA"
137,191550306013,"Council Bluffs, IA"
138,191550306012,"Council Bluffs, IA"
139,191550306011,"Council Bluffs, IA"
