,index,0
0,"Maquoketa, IA",-90.65104474418604
1,"Elk Horn, IA",-95.10698466666666
2,"Seymour, IA",-93.11844922222221
3,"Janesville, IA",-92.50554324705882
4,"Rippey, IA",-94.2996763368421
5,"Pocahontas, IA",-94.67345799999998
6,"Fonda, IA",-94.84551325000001
7,"Lamoni, IA",-93.93368309999998
8,"Story City, IA",-93.55321829411764
9,"Bonaparte, IA",-91.7925759185536
10,"Albion, IA",-93.0638715
11,"Patterson, IA",-93.90970445544552
12,"Exline, IA",-92.79522281774125
13,"Long Grove, IA",-90.58559391666667
14,"Independence, IA",-91.8819547
15,"Goldfield, IA",-93.91289596296295
16,"Hastings, IA",-95.51898981818181
17,"Salix, IA",-96.33930385135315
18,"Windsor Heights, IA",-93.74545499999999
19,"Larrabee, IA",-95.50574583116887
20,"Donahue, IA",-90.72243208988762
21,"Radcliffe, IA",-93.4125097368421
22,"Jesup, IA",-92.0529263
23,"Riverside, IA",-91.54224437037035
24,"Brunsville, IA",-96.30049645000003
25,"Ruthven, IA",-94.83840297727271
26,"Arispe, IA",-94.27890371052634
27,"Luana, IA",-91.4688879032258
28,"Rolfe, IA",-94.48309719999999
29,"Ossian, IA",-91.78215587341772
30,"Pulaski, IA",-92.33519393125675
31,"Rock Rapids, IA",-96.18324010788201
32,"Clinton, IA",-90.22764255986804
33,"Greenville, IA",-95.09335951515153
34,"Hawarden, IA",-96.49940261994212
35,"Corwith, IA",-93.86048760606059
36,"Laurens, IA",-94.85510113333333
37,"Urbana, IA",-91.86394837499998
38,"Pleasant Plain, IA",-91.79968360240963
39,"Dumont, IA",-92.96539433333332
40,"Walford, IA",-91.87991442857142
41,"Valeria, IA",-93.28961767567566
42,"Arlington, IA",-91.76150614814816
43,"Hills, IA",-91.50046939166664
44,"Correctionville, IA",-95.7502144883721
45,"St. Paul, IA",-91.56034723913044
46,"Carson, IA",-95.45495307142858
47,"Arion, IA",-95.49566410576921
48,"Sergeant Bluff, IA",-96.38167596031623
49,"Baxter, IA",-93.15635077777779
50,"Farnhamville, IA",-94.46962
51,"Birmingham, IA",-92.01885291666669
52,"Milo, IA",-93.5143031794872
53,"Spirit Lake, IA",-95.07287303174601
54,"Guthrie Center, IA",-94.48619656603769
55,"Huxley, IA",-93.59204160000003
56,"Andrew, IA",-90.61849731034481
57,"Sigourney, IA",-92.21552007407408
58,"Cumming, IA",-93.72517787179487
59,"Orleans, IA",-95.06887447976888
60,"Winfield, IA",-91.43828284615385
61,"Keokuk, IA",-91.38189642857142
62,"Goose Lake, IA",-90.38703528571429
63,"Mitchell, IA",-92.87856550505049
64,"Waukon, IA",-91.46787914285719
65,"Strawberry Point, IA",-91.53858355263158
66,"Battle Creek, IA",-95.55189515624996
67,"Toledo, IA",-92.62187381818181
68,"Grandview, IA",-91.19533448181816
69,"Winthrop, IA",-91.76381515873018
70,"Rodman, IA",-94.55724799999999
71,"Emmetsburg, IA",-94.70333925000001
72,"Monticello, IA",-91.18607361111111
73,"Danville, IA",-91.26568660465114
74,"Keystone, IA",-92.25912
75,"Waverly, IA",-92.47711366666665
76,"Dyersville, IA",-91.10676268965517
77,"Lakeside, IA",-95.17813252941176
78,"Duncombe, IA",-94.04451426315788
79,"Grand Junction, IA",-94.22915776666667
80,"Dysart, IA",-92.34967210526317
81,"Victor, IA",-92.28068923529412
82,"Larchwood, IA",-96.42864474999999
83,"Hudson, IA",-92.4258368148148
84,"Atlantic, IA",-95.0262416470588
85,"Buck Grove, IA",-95.3239091188119
86,"Linn Grove, IA",-95.22455371794874
87,"Waterville, IA",-91.34712922602739
88,"Popejoy, IA",-93.38986786111111
89,"Rutland, IA",-94.33032894594595
90,"Riverton, IA",-95.54043981114853
91,"Quasqueton, IA",-91.73673968852458
92,"Wayland, IA",-91.66061693103447
93,"Westfield, IA",-96.52974563683176
94,"Stuart, IA",-94.3008594
95,"Elkhart, IA",-93.47632032653061
96,"Palmer, IA",-94.55046483870969
97,"Olin, IA",-91.17342446153846
98,"Packwood, IA",-92.09292979310344
99,"Adel, IA",-94.00348786440684
100,"Dakota City, IA",-94.19804380555553
101,"Kellerton, IA",-94.09588072835828
102,"Alta, IA",-95.28202771052631
103,"Everly, IA",-95.35799481818181
104,"Jolley, IA",-94.72950675000001
105,"Gilman, IA",-92.7892002222222
106,"Clutier, IA",-92.43596354411766
107,"Lake City, IA",-94.74405767391299
108,"Moorland, IA",-94.30664884615385
109,"Maynard, IA",-91.87465848571426
