,City,destination,km distance,label,num reviews,rating
103,"Afton, IA"," Urbandale, IA ",78.50079707884288,optometrist,3,5.0
104,"Afton, IA"," Des Moines, IA ",78.07118960226266,optometrist,3,5.0
105,"Afton, IA"," Pleasant Hill, IA ",85.27062736286135,optometrist,5,3.5
106,"Afton, IA"," Des Moines, IA ",78.64726737208308,optometrist,3,5.0
107,"Afton, IA"," Des Moines, IA ",76.87579776743084,optometrist,10,4.0
108,"Afton, IA"," Waukee, IA ",71.29004795120849,optometrist,2,5.0
109,"Afton, IA"," Des Moines, IA ",73.29181830033484,optometrist,3,4.5
110,"Afton, IA"," West Des Moines, IA ",71.15153347326833,optometrist,8,4.5
111,"Afton, IA"," West Des Moines, IA ",68.01909773065685,optometrist,17,4.5
112,"Afton, IA"," West Des Moines, IA ",74.21762530988568,optometrist,3,5.0
113,"Afton, IA"," West Des Moines, IA ",67.72059635719579,optometrist,1,5.0
114,"Afton, IA"," West Des Moines, IA ",68.93710823251631,optometrist,3,2.5
115,"Afton, IA"," Urbandale, IA ",75.93787130257198,optometrist,2,5.0
116,"Afton, IA"," West Des Moines, IA ",71.72694214107692,optometrist,4,3.0
117,"Afton, IA"," Des Moines, IA ",76.6133857625872,optometrist,3,5.0
118,"Afton, IA"," Clive, IA ",71.94544439256134,optometrist,1,5.0
119,"Afton, IA"," West Des Moines, IA ",67.82246137672921,optometrist,3,3.5
120,"Agency, IA"," Agency, IA ",0.6764723421419805,gas stations,2,4.5
121,"Agency, IA"," Fairfield, IA ",27.507044090443426,gas stations,2,4.5
122,"Agency, IA"," Eddyville, IA ",32.00543543982539,gas stations,1,3.0
123,"Agency, IA"," Ottumwa, IA ",11.378790029649615,gas stations,2,3.0
124,"Agency, IA"," Fairfield, IA ",28.84458794340244,gas stations,2,4.5
125,"Agency, IA"," Agency, IA ",5.732638514311051,gas stations,1,5.0
126,"Agency, IA"," Hedrick, IA ",20.043848963434066,gas stations,2,2.5
127,"Agency, IA"," Fairfield, IA ",28.741566937493364,gas stations,2,4.0
128,"Agency, IA"," Fairfield, IA ",28.516244985742286,gas stations,6,5.0
129,"Agency, IA"," Ottumwa, IA ",11.226757071600229,dental,3,4.0
130,"Agency, IA"," Fairfield, IA ",29.03440232927102,dental,1,5.0
131,"Agency, IA"," Ottumwa, IA ",8.25359931848232,dental,3,2.5
132,"Agency, IA"," Ottumwa, IA ",8.367491547482668,dental,1,1.0
133,"Agency, IA"," Oskaloosa, IA ",41.82243229999443,dental,2,3.0
134,"Agency, IA"," Ottumwa, IA ",9.4335761538477,pharmacy,2,5.0
135,"Agency, IA"," Ottumwa, IA ",9.18243310333905,pharmacy,1,2.0
136,"Agency, IA"," Oskaloosa, IA ",44.07848962481473,pharmacy,2,5.0
137,"Agency, IA"," Albia, IA ",42.483375159807856,pharmacy,1,5.0
138,"Agency, IA"," Knoxville, IA ",76.10758883179929,pharmacy,1,5.0
139,"Agency, IA"," Mount Pleasant, IA ",63.2425075497944,pharmacy,1,3.0
140,"Agency, IA"," Ottumwa, IA ",8.966613116719298,optometrist,1,5.0
141,"Agency, IA"," Albia, IA ",41.64967053245799,optometrist,1,1.0
142,"Agency, IA"," Washington, IA ",61.96481419593761,optometrist,1,5.0
143,"Agency, IA"," Centerville, IA ",55.86714219598665,optometrist,1,5.0
144,"Agency, IA"," Riverside, IA ",83.79101485235716,optometrist,1,4.0
145,"Agency, IA"," Washington, IA ",61.39846927952788,optometrist,1,1.0
146,"Agency, IA"," Agency, IA ",5.732638514311051,convenience stores,1,5.0
147,"Agency, IA"," Fairfield, IA ",28.84458794340244,convenience stores,2,4.5
148,"Agency, IA"," Ottumwa, IA ",10.56466978665074,convenience stores,1,3.0
149,"Agency, IA"," Fairfield, IA ",28.516244985742286,convenience stores,6,5.0
150,"Agency, IA"," Fairfield, IA ",27.507044090443426,convenience stores,2,4.5
