,City,Poverty Rate,Renter Rate,Median Rent,Median Income,Rent Burden,Eviction Rate,Filing Rate,Samples,Lat,Lon
0,"Altoona, IA",5.135625000000001,27.3375,692.375,62662.5625,24.6,2.573125,7.19125,16,41.65,-93.4725
1,"Lake Park, IA",3.14375,21.793125,527.0625,47937.5625,18.049999999999997,0.7175,1.0368750000000002,16,43.45278,-95.32167
2,"Williamsburg, IA",5.871764705882352,29.165882352941175,522.9411764705883,51637.470588235294,21.0,0.5129411764705882,0.8505882352941176,17,41.66417,-92.01222
3,"Batavia, IA",8.700588235294118,21.21588235294118,569.7058823529412,39583.0,24.93529411764706,0.6252941176470588,0.7217647058823529,17,40.9975,-92.16778000000001
4,"Buffalo Center, IA",9.5075,21.264375,475.4375,34018.625,21.237499999999997,0.28562499999999996,0.35687499999999994,16,43.386390000000006,-93.94833
5,"Epworth, IA",4.835,17.778125,564.25,57964.75,19.30625,0.8243749999999999,1.024375,16,42.44583,-90.93111
6,"Le Claire, IA",5.258333333333334,18.851666666666663,546.0,58332.25,24.400000000000002,2.3925000000000005,3.3700000000000006,12,41.596109999999996,-90.35639
7,"St. Charles, IA",4.725294117647059,23.54058823529412,624.1764705882352,55858.58823529412,20.211764705882352,0.4935294117647058,0.6435294117647059,17,41.28778,-93.80806
8,"Fruitland, IA",3.895625,5.261875,622.0625,71171.25,37.61875,6.421250000000001,9.06375,16,41.35222,-91.12611
9,"Le Mars, IA",5.485882352941177,25.941764705882356,483.6470588235294,46851.0,23.447058823529414,0.5476470588235294,0.6894117647058823,17,42.78889,-96.16583
10,"University Park, IA",5.442352941176471,40.572352941176476,539.0588235294117,40247.294117647056,23.829411764705878,1.0505882352941176,1.4870588235294118,17,41.28611,-92.61833
11,"Columbus Junction, IA",12.555882352941175,34.67,509.6470588235294,43374.0,24.205882352941178,0.5123529411764707,0.6864705882352942,17,41.27833,-91.3625
12,"Correctionville, IA",14.641875,15.86,450.9375,36221.8125,30.5,1.0118749999999999,1.208125,16,42.47667,-95.78472
13,"Pacific Junction, IA",9.454705882352942,16.713529411764707,773.4705882352941,40228.76470588235,26.858823529411765,1.34,1.5641176470588238,17,41.01833,-95.8
14,"Sac City, IA",8.009411764705883,26.00176470588235,503.47058823529414,38439.882352941175,29.176470588235293,0.9758823529411764,1.0564705882352943,17,42.42111,-94.995
15,"Elma, IA",9.894705882352941,26.081176470588236,510.1764705882353,33862.882352941175,18.06470588235294,0.521764705882353,0.7347058823529413,17,43.24556,-92.43861
16,"Hamburg, IA",13.610588235294117,34.86470588235294,464.29411764705884,31542.176470588234,26.247058823529407,0.618235294117647,0.7652941176470588,17,40.60583,-95.655
17,"Everly, IA",9.314705882352941,22.441176470588236,555.6470588235294,44144.17647058824,24.323529411764707,0.35352941176470587,0.6188235294117647,17,43.15972,-95.32528
18,"Sheffield, IA",6.371764705882352,15.631176470588237,396.29411764705884,44902.41176470588,22.094117647058823,0.061764705882352944,0.19235294117647062,17,42.893609999999995,-93.21694000000001
19,"Anita, IA",8.508823529411764,25.451176470588237,437.29411764705884,35714.35294117647,25.08235294117647,0.6258823529411766,0.7876470588235295,17,41.446670000000005,-94.76556
20,"Corning, IA",8.26941176470588,30.640588235294118,373.0,34813.82352941176,22.75294117647059,0.4747058823529412,0.5141176470588236,17,40.99139,-94.73694
21,"Audubon, IA",10.51941176470588,19.23529411764706,454.3529411764706,36401.94117647059,20.352941176470587,0.5129411764705882,0.6911764705882353,17,41.720279999999995,-94.92833
22,"Sibley, IA",7.20235294117647,27.318823529411763,508.47058823529414,37378.17647058824,23.723529411764705,0.15470588235294117,0.19294117647058825,17,43.403059999999996,-95.74639
23,"Clarence, IA",7.540588235294119,28.93,520.6470588235294,41904.94117647059,26.164705882352944,0.2247058823529412,0.3947058823529412,17,41.88778,-91.05917
24,"What Cheer, IA",18.604705882352942,24.145882352941175,405.29411764705884,28623.823529411766,23.794117647058822,1.4223529411764706,2.0423529411764707,17,41.40056,-92.355
25,"Montezuma, IA",8.784117647058823,33.166470588235285,507.6470588235294,44539.82352941176,21.68235294117647,1.8541176470588234,3.695294117647059,17,41.584720000000004,-92.52528000000001
26,"Battle Creek, IA",8.387058823529413,24.735882352941175,418.3529411764706,35736.882352941175,21.58823529411765,0.25,0.37529411764705883,17,42.31694,-95.59944
27,"Albert City, IA",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,42.78083,-94.95056
28,"Bayard, IA",16.679411764705883,22.109411764705882,419.3529411764706,36229.529411764706,28.470588235294116,0.4235294117647058,0.6923529411764705,17,41.85222,-94.55722
29,"Murray, IA",11.631176470588237,24.08058823529412,521.9411764705883,35013.529411764706,22.41764705882353,0.8270588235294118,0.9805882352941175,17,41.04333,-93.95
30,"Sabula, IA",12.218235294117648,26.31529411764706,506.5882352941176,38444.58823529412,23.735294117647058,0.5411764705882353,0.6829411764705882,17,42.06778,-90.17416999999999
