origination,city,km distance,latitude,longitude,num reviews,price,rating,Type
"Altoona, IA",Des Moines,11.619243104036965,41.627359999999996,-93.62027990000001,3,2,2.5,Pawn Shops
"Altoona, IA",Des Moines,16.499477950245026,41.586608899999995,-93.66177370000001,2,2,3.0,Pawn Shops
"Altoona, IA",Des Moines,14.210152830403668,41.5574265,-93.5967026,2,1,2.0,Pawn Shops
"Altoona, IA",Des Moines,14.861817860416709,41.6296179592609,-93.65909636020659,3,1,2.5,Pawn Shops
"Altoona, IA",Altoona,1.1890235421600923,41.65891,-93.49731,53,2,4.0,Restaurants
"Altoona, IA",Altoona,0.5840276191866667,41.65889,-93.48405,79,2,4.0,Restaurants
"Altoona, IA",Altoona,0.9658290024719676,41.6589942684818,-93.4939050325905,117,2,3.5,Restaurants
"Altoona, IA",Altoona,0.956770692705106,41.6533966064453,-93.4983673095703,33,2,3.5,Restaurants
"Altoona, IA",Altoona,0.8561996957621942,41.658993,-93.492165,37,2,4.0,Restaurants
"Altoona, IA",Altoona,2.022711346964977,41.646343,-93.507011,50,2,3.5,Restaurants
"Altoona, IA",Altoona,2.44503968623856,41.644194899999995,-93.458749,18,2,3.0,Restaurants
"Altoona, IA",Altoona,0.41112648112918615,41.6547314011369,-93.4894637390971,18,3,4.0,Restaurants
"Altoona, IA",Altoona,2.073102453370703,41.6438951,-93.46440809999999,30,1,3.5,Restaurants
"Altoona, IA",Altoona,1.6287417714749668,41.64467,-93.50038,31,2,3.5,Restaurants
"Altoona, IA",Altoona,2.6281541978920684,41.655684652507,-93.5162438609141,63,3,3.0,Restaurants
"Altoona, IA",Altoona,2.0324404045245825,41.64614,-93.50702,21,1,3.5,Restaurants
"Altoona, IA",Altoona,0.4494306204000324,41.655510799999995,-93.48953780000001,18,2,3.0,Restaurants
"Altoona, IA",Altoona,1.7831357503382983,41.643260999999995,-93.501058,10,2,3.5,Restaurants
"Altoona, IA",Altoona,2.5348625518467203,41.65954,-93.51380999999999,31,2,2.5,Restaurants
"Altoona, IA",Pleasant Hill,6.468585089493245,41.59698,-93.50279990000001,6,2,4.5,Restaurants
"Altoona, IA",Ankeny,10.035716674523972,41.703559999999996,-93.58521999999999,99,1,4.0,Restaurants
"Altoona, IA",Altoona,1.019499328905367,41.659837765498295,-93.4937985241413,24,2,3.5,Restaurants
"Altoona, IA",Altoona,2.077871342534706,41.643522999999995,-93.50573100000001,19,1,3.0,Restaurants
