,Lat,Lon
"Ackley, IA",42.5525,-93.05389
"Ackworth, IA",41.365,-93.47333
"Adair, IA",41.5,-94.64389
"Adel, IA",41.61667,-94.02167
"Afton, IA",41.028059999999996,-94.19694
"Agency, IA",40.99556,-92.3075
"Ainsworth, IA",41.290279999999996,-91.55417
"Akron, IA",42.82528,-96.55667
"Albert City, IA",42.78083,-94.95056
"Albia, IA",41.02667,-92.80528000000001
"Albion, IA",42.111670000000004,-92.99083
"Alburnett, IA",42.14917,-91.61972
"Alden, IA",42.516940000000005,-93.37583000000001
"Alexander, IA",42.80472,-93.4775
"Algona, IA",43.07028,-94.22972
"Alleman, IA",41.81889,-93.61111
"Allerton, IA",40.70722,-93.36721999999999
"Allison, IA",42.75333,-92.79472
"Alta, IA",42.67194,-95.30471999999999
"Alta Vista, IA",43.19917,-92.41583
"Alton, IA",42.986940000000004,-96.01139
"Altoona, IA",41.65,-93.4725
"Alvord, IA",43.342220000000005,-96.30360999999999
"Ames, IA",42.03472,-93.62
"Anamosa, IA",42.10889,-91.28139
"Andover, IA",41.97889,-90.25166999999999
"Andrew, IA",42.154059000000004,-90.59176500000001
"Anita, IA",41.446670000000005,-94.76556
"Ankeny, IA",41.72667,-93.60417
"Anthon, IA",42.38778,-95.86639
"Aplington, IA",42.5825,-92.8825
"Arcadia, IA",42.086940000000006,-95.04556
"Archer, IA",43.11528,-95.74444
"Aredale, IA",42.835,-93.00471999999999
"Arion, IA",41.94917,-95.46306
"Arispe, IA",40.948890000000006,-94.21889
"Arlington, IA",42.748059999999995,-91.67166999999999
"Armstrong, IA",43.39583,-94.48083000000001
"Arnolds Park, IA",43.365559999999995,-95.12971999999999
"Arthur, IA",42.33528,-95.34666999999999
"Asbury, IA",42.51556,-90.76333000000001
"Ashton, IA",43.31194,-95.79167
"Aspinwall, IA",41.911390000000004,-95.135
"Atalissa, IA",41.571670000000005,-91.16667
"Atkins, IA",41.99472,-91.86111
"Atlantic, IA",41.40139,-95.01083
"Auburn, IA",42.25083,-94.87722
"Audubon, IA",41.720279999999995,-94.92833
"Aurelia, IA",42.71417,-95.43472
"Aurora, IA",42.61806,-91.72861
"Avoca, IA",41.483000000000004,-95.333
"Ayrshire, IA",43.03861,-94.83471999999999
"Badger, IA",42.61528,-94.14444
"Bagley, IA",41.84667,-94.42889
"Baldwin, IA",42.073890000000006,-90.84056
"Balltown, IA",42.6375,-90.86861
"Bancroft, IA",43.29278,-94.21694000000001
"Bankston, IA",42.509170000000005,-90.96
"Barnes City, IA",41.50833,-92.46889
"Barnum, IA",42.50667,-94.36444
"Bassett, IA",43.06222,-92.51583000000001
"Batavia, IA",40.9975,-92.16778000000001
"Battle Creek, IA",42.31694,-95.59944
"Baxter, IA",41.82444,-93.15083
"Bayard, IA",41.85222,-94.55722
"Beacon, IA",41.27583,-92.68083
"Beaconsfield, IA",40.80806,-94.05056
"Beaman, IA",42.22,-92.82306
"Beaver, IA",42.03778,-94.14111
"Bedford, IA",40.66833,-94.72111
"Belle Plaine, IA",41.89667,-92.2775
"Bellevue, IA",42.259170000000005,-90.42639
"Belmond, IA",42.84722,-93.61222
"Bennett, IA",41.740829999999995,-90.97444
"Benton, IA",40.70583,-94.35778
"Berkley, IA",41.94611,-94.11389
