,City,Capacity,Lat,Lon
141,"Elberon, IA",12,42.036025,-92.326872
142,"Eldora, IA",160,42.360767,-93.0799
143,"Eldridge, IA",556,41.596274,-90.569899
144,"Elgin, IA",50,42.951587,-91.645765
145,"Elk Run Heights, IA",36,42.448565,-92.263863
146,"Elkader, IA",100,42.845108,-91.405006
147,"Elkhart, IA",8,,
148,"Elliott, IA",12,41.079898,-95.1186
149,"Ellsworth, IA",12,42.31055,-93.521181
150,"Elma, IA",34,43.262628,-92.43592
151,"Emmetsburg, IA",176,43.111951,-94.701266
152,"Epworth, IA",59,42.443832,-90.918594
153,"Essex, IA",55,40.825394,-95.316489
154,"Estherville, IA",193,43.382579,-94.816405
155,"Evansdale, IA",193,42.459451,-92.277813
156,"Everly, IA",50,43.169826,-95.387943
157,"Exira, IA",40,41.631099,-94.744213
158,"Fairbank, IA",53,42.642142,-92.036448
159,"Fairfield, IA",360,40.995693,-91.946663
160,"Farley, IA",52,42.38244,-90.97154300000001
161,"Farragut, IA",12,40.750168,-95.49943
162,"Fayette, IA",68,42.817669,-91.764679
163,"Fenton, IA",53,43.168885,-94.442751
164,"Ferguson, IA",12,41.93499,-92.883126
165,"Fontanelle, IA",17,,
166,"Forest City, IA",296,43.261699,-93.64221500000001
167,"Fort Dodge, IA",1387,42.529667,-94.235692
168,"Fort Madison, IA",268,40.65079,-91.297323
169,"Fredericksburg, IA",72,42.979690000000005,-92.199221
170,"Fremont, IA",8,41.272082,-92.41081700000001
171,"Fruitland, IA",20,41.370571000000005,-91.113432
172,"Garnavillo, IA",45,42.863341,-91.225964
173,"Garner, IA",159,43.097802,-93.604688
174,"George, IA",20,43.31583,-95.97914200000001
175,"Gilbert, IA",226,42.162132,-93.69857900000001
176,"Gilbertville, IA",36,42.384643,-92.18133900000001
177,"Gilmore City, IA",100,,
178,"Gladbrook, IA",68,,
179,"Glenwood, IA",246,41.035048,-95.75181500000001
180,"Glidden, IA",68,42.055282,-94.735863
181,"Goose Lake, IA",50,,
182,"Gowrie, IA",40,,
183,"Graettinger, IA",8,43.172107000000004,-94.796949
184,"Grafton, IA",12,,
185,"Granger, IA",589,41.761032,-93.901907
186,"Green Mountain, IA",40,,
187,"Greene, IA",68,42.90731,-92.805214
188,"Greenfield, IA",111,41.294405,-94.470538
189,"Grimes, IA",615,41.717456,-93.814537
190,"Grinnell, IA",441,41.738157,-92.707969
191,"Griswold, IA",8,,
192,"Grundy Center, IA",198,42.354462,-92.771261
193,"Guthrie Center, IA",50,41.674765,-94.512475
194,"Guttenberg, IA",63,42.8357049666267,-91.09492982891639
195,"Hamburg, IA",14,40.674262901929204,-95.83734540376359
196,"Hampton, IA",254,42.687354,-93.261863
197,"Harlan, IA",270,41.60245,-95.23276800000001
198,"Hartford, IA",28,,
199,"Hartley, IA",73,43.186851000000004,-95.476986
200,"Haughton, IA",5,,
201,"Hawarden, IA",145,42.9976523428689,-96.50005597511549
202,"Hiawatha, IA",508,42.012381,-91.704874
203,"Hills, IA",130,41.569238,-91.444973
204,"Hinton, IA",186,42.561803000000005,-96.330321
205,"Holstein, IA",12,,
206,"Hornick, IA",24,,
207,"Hospers, IA",40,43.098204,-95.860579
208,"Hudson, IA",90,42.413892,-92.417075
209,"Hull, IA",88,43.171287,-96.137811
210,"Humboldt, IA",176,42.731942,-94.257674
211,"Humeston, IA",5,,
212,"Huxley, IA",370,41.910671,-93.610342
213,"Ida Grove, IA",81,42.341435,-95.47410500000001
214,"Independence, IA",265,42.458304,-91.874507
215,"Indianola, IA",913,41.356224,-93.558301
216,"Inwood, IA",41,43.272463,-96.353445
217,"Ionia, IA",28,43.052170000000004,-92.47551
218,"Iowa City, IA",3005,41.663946,-91.52066
219,"Iowa Falls, IA",78,42.528683,-93.263651
220,"Ireton, IA",89,43.084209,-96.332646
221,"Irwin, IA",12,41.798444,-95.093038
222,"Janesville, IA",91,42.642248,-92.503991
223,"Jefferson, IA",190,41.979164000000004,-94.396575
224,"Jesup, IA",170,42.482654,-92.051694
225,"Jewell, IA",32,,
226,"Johnston, IA",2304,41.643829,-93.68571700000001
227,"Kalona, IA",123,41.496541,-91.704466
228,"Kensett, IA",12,43.342499,-93.18190200000001
229,"Keokuk, IA",412,40.398920000000004,-91.386589
230,"Keosauqua, IA",76,40.725493,-91.963502
231,"Keystone, IA",8,41.949564,-92.228019
232,"Kingsley, IA",56,42.575462,-95.95760600000001
233,"Kiron, IA",12,42.214684000000005,-95.323324
234,"Knoxville, IA",457,41.248239,-93.03037900000001
235,"La Motte, IA",16,,
236,"La Porte City, IA",24,42.297421,-92.220393
237,"Lacona, IA",12,41.160537,-93.441764
238,"Lake City, IA",69,42.267387,-94.706959
239,"Lake Mills, IA",137,43.426643,-93.552238
240,"Lake Park, IA",24,43.430489,-95.340845
241,"Lakeside, IA",12,42.640946,-95.17134300000001
242,"Lambs Grove, IA",16,41.688340000000004,-93.067649
243,"Lamoni, IA",128,40.609128000000005,-93.904781
244,"Laporte City, IA",24,,
245,"Larchwood, IA",40,43.43217805271029,-96.58955108259809
246,"Latimer, IA",34,,
247,"Laurel, IA",12,,
248,"Laurens, IA",112,42.828585,-94.91386
249,"Lawton, IA",44,42.474767,-96.126723
250,"Le Claire, IA",169,41.5770775799534,-90.37877992674031
