,year,name,population,poverty-rate,pct-renter-occupied,median-gross-rent,median-household-income,median-property-value,rent-burden,pct-white,pct-af-am,pct-hispanic,pct-am-ind,pct-asian,pct-nh-pi,renter-occupied-households,eviction-filings,evictions,eviction-rate,eviction-filing-rate
0,2000,Waukon,4131.0,12.32,29.39,338.0,30325.0,67900.0,21.8,98.33,0.0,0.73,0.1,0.22,0.02,518.0,0.0,0.0,0.0,0.0
1,2001,Waukon,4131.0,12.32,29.39,338.0,30325.0,67900.0,21.8,98.33,0.0,0.73,0.1,0.22,0.02,517.0,0.0,0.0,0.0,0.0
2,2002,Waukon,4131.0,12.32,29.39,338.0,30325.0,67900.0,21.8,98.33,0.0,0.73,0.1,0.22,0.02,516.0,0.0,0.0,0.0,0.0
3,2003,Waukon,4131.0,12.32,29.39,338.0,30325.0,67900.0,21.8,98.33,0.0,0.73,0.1,0.22,0.02,515.0,0.0,0.0,0.0,0.0
4,2004,Waukon,4131.0,12.32,29.39,338.0,30325.0,67900.0,21.8,98.33,0.0,0.73,0.1,0.22,0.02,515.0,1.0,1.0,0.19,0.19
5,2005,Waukon,3896.0,6.37,30.13,396.0,35997.0,81400.0,22.2,97.66,0.0,2.18,0.15,0.0,0.0,515.0,1.0,1.0,0.19,0.19
6,2006,Waukon,3896.0,6.37,30.13,396.0,35997.0,81400.0,22.2,97.66,0.0,2.18,0.15,0.0,0.0,513.0,0.0,0.0,0.0,0.0
7,2007,Waukon,3896.0,6.37,30.13,396.0,35997.0,81400.0,22.2,97.66,0.0,2.18,0.15,0.0,0.0,513.0,2.0,2.0,0.38,0.38
8,2008,Waukon,3896.0,6.37,30.13,396.0,35997.0,81400.0,22.2,97.66,0.0,2.18,0.15,0.0,0.0,512.0,6.0,6.0,1.13,1.13
9,2009,Waukon,3896.0,6.37,30.13,396.0,35997.0,81400.0,22.2,97.66,0.0,2.18,0.15,0.0,0.0,511.0,6.0,3.0,0.56,1.12
10,2010,Waukon,3897.0,9.83,28.97,492.0,38787.0,89100.0,23.3,97.46,0.44,1.39,0.05,0.05,0.0,510.0,9.0,9.0,1.71,1.71
11,2011,Waukon,3818.0,5.78,25.39,512.0,39417.0,82100.0,23.6,96.36,0.0,1.13,0.0,0.0,0.0,515.0,1.0,1.0,0.19,0.19
12,2012,Waukon,3818.0,5.78,25.39,512.0,39417.0,82100.0,23.6,96.36,0.0,1.13,0.0,0.0,0.0,523.0,5.0,5.0,0.92,0.92
13,2013,Waukon,3818.0,5.78,25.39,512.0,39417.0,82100.0,23.6,96.36,0.0,1.13,0.0,0.0,0.0,529.0,9.0,7.0,1.28,1.64
14,2014,Waukon,3818.0,5.78,25.39,512.0,39417.0,82100.0,23.6,96.36,0.0,1.13,0.0,0.0,0.0,535.0,3.0,1.0,0.18,0.54
15,2015,Waukon,3818.0,5.78,25.39,512.0,39417.0,82100.0,23.6,96.36,0.0,1.13,0.0,0.0,0.0,542.0,10.0,10.0,1.78,1.78
16,2016,Waukon,3818.0,5.78,25.39,512.0,39417.0,82100.0,23.6,96.36,0.0,1.13,0.0,0.0,0.0,548.0,8.0,5.0,0.88,1.41
