,year,name,population,poverty-rate,pct-renter-occupied,median-gross-rent,median-household-income,median-property-value,rent-burden,pct-white,pct-af-am,pct-hispanic,pct-am-ind,pct-asian,pct-nh-pi,renter-occupied-households,eviction-filings,evictions,eviction-rate,eviction-filing-rate
0,2000,Hopkinton,681.0,4.86,20.73,254.0,33958.0,66100.0,18.6,98.53,0.0,0.15,0.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0
1,2001,Hopkinton,681.0,4.86,20.73,254.0,33958.0,66100.0,18.6,98.53,0.0,0.15,0.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0
2,2002,Hopkinton,681.0,4.86,20.73,254.0,33958.0,66100.0,18.6,98.53,0.0,0.15,0.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0
3,2003,Hopkinton,681.0,4.86,20.73,254.0,33958.0,66100.0,18.6,98.53,0.0,0.15,0.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0
4,2004,Hopkinton,681.0,4.86,20.73,254.0,33958.0,66100.0,18.6,98.53,0.0,0.15,0.0,0.0,0.0,54.0,0.0,0.0,0.0,0.0
5,2005,Hopkinton,689.0,4.44,15.33,412.0,44048.0,77100.0,15.2,100.0,0.0,0.0,0.0,0.0,0.0,54.0,1.0,1.0,0.05,0.05
6,2006,Hopkinton,689.0,4.44,15.33,412.0,44048.0,77100.0,15.2,100.0,0.0,0.0,0.0,0.0,0.0,53.0,1.0,1.0,0.05,0.05
7,2007,Hopkinton,689.0,4.44,15.33,412.0,44048.0,77100.0,15.2,100.0,0.0,0.0,0.0,0.0,0.0,52.0,1.0,1.0,1.58,1.58
8,2008,Hopkinton,689.0,4.44,15.33,412.0,44048.0,77100.0,15.2,100.0,0.0,0.0,0.0,0.0,0.0,51.0,1.0,1.0,1.6,1.6
9,2009,Hopkinton,689.0,4.44,15.33,412.0,44048.0,77100.0,15.2,100.0,0.0,0.0,0.0,0.0,0.0,50.0,1.0,0.0,0.0,1.63
10,2010,Hopkinton,628.0,4.68,18.8,381.0,45147.0,78000.0,19.6,98.57,0.0,0.8,0.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0
11,2011,Hopkinton,567.0,1.92,15.67,427.0,42250.0,78100.0,25.6,98.59,0.0,0.0,0.0,0.0,0.0,49.0,2.0,2.0,3.34,4.99
12,2012,Hopkinton,567.0,1.92,15.67,427.0,42250.0,78100.0,25.6,98.59,0.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0
13,2013,Hopkinton,567.0,1.92,15.67,427.0,42250.0,78100.0,25.6,98.59,0.0,0.0,0.0,0.0,0.0,49.0,1.0,1.0,1.74,1.74
14,2014,Hopkinton,567.0,1.92,15.67,427.0,42250.0,78100.0,25.6,98.59,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0
15,2015,Hopkinton,567.0,1.92,15.67,427.0,42250.0,78100.0,25.6,98.59,0.0,0.0,0.0,0.0,0.0,50.0,1.0,1.0,0.03,1.68
16,2016,Hopkinton,567.0,1.92,15.67,427.0,42250.0,78100.0,25.6,98.59,0.0,0.0,0.0,0.0,0.0,50.0,1.0,1.0,0.03,0.03
