,year,name,population,poverty-rate,pct-renter-occupied,median-gross-rent,median-household-income,median-property-value,rent-burden,pct-white,pct-af-am,pct-hispanic,pct-am-ind,pct-asian,pct-nh-pi,renter-occupied-households,eviction-filings,evictions,eviction-rate,eviction-filing-rate
0,2000,Winfield,1131.0,12.72,26.77,365.0,32500.0,60800.0,22.3,97.44,0.35,1.5,0.0,0.35,0.0,117.0,2.0,2.0,1.66,1.66
1,2001,Winfield,1131.0,12.72,26.77,365.0,32500.0,60800.0,22.3,97.44,0.35,1.5,0.0,0.35,0.0,117.0,2.0,2.0,1.66,1.66
2,2002,Winfield,1131.0,12.72,26.77,365.0,32500.0,60800.0,22.3,97.44,0.35,1.5,0.0,0.35,0.0,116.0,2.0,2.0,1.68,1.68
3,2003,Winfield,1131.0,12.72,26.77,365.0,32500.0,60800.0,22.3,97.44,0.35,1.5,0.0,0.35,0.0,116.0,4.0,4.0,3.35,3.35
4,2004,Winfield,1131.0,12.72,26.77,365.0,32500.0,60800.0,22.3,97.44,0.35,1.5,0.0,0.35,0.0,116.0,1.0,1.0,0.84,0.84
5,2005,Winfield,1361.0,9.49,33.99,505.0,39299.0,79700.0,23.1,91.48,0.0,1.18,0.0,1.91,0.0,116.0,2.0,2.0,1.68,1.68
6,2006,Winfield,1361.0,9.49,33.99,505.0,39299.0,79700.0,23.1,91.48,0.0,1.18,0.0,1.91,0.0,115.0,0.0,0.0,0.0,0.0
7,2007,Winfield,1361.0,9.49,33.99,505.0,39299.0,79700.0,23.1,91.48,0.0,1.18,0.0,1.91,0.0,115.0,1.0,1.0,0.0,0.0
8,2008,Winfield,1361.0,9.49,33.99,505.0,39299.0,79700.0,23.1,91.48,0.0,1.18,0.0,1.91,0.0,115.0,0.0,0.0,0.0,0.0
9,2009,Winfield,1361.0,9.49,33.99,505.0,39299.0,79700.0,23.1,91.48,0.0,1.18,0.0,1.91,0.0,114.0,0.0,0.0,0.0,0.0
10,2010,Winfield,1134.0,12.08,26.32,570.0,39375.0,85300.0,26.9,95.86,1.06,1.41,0.18,0.53,0.0,114.0,5.0,5.0,4.26,4.26
11,2011,Winfield,1001.0,7.75,25.59,500.0,41875.0,83100.0,22.5,95.5,0.0,4.1,0.0,0.0,0.0,114.0,6.0,4.0,3.41,5.11
12,2012,Winfield,1001.0,7.75,25.59,500.0,41875.0,83100.0,22.5,95.5,0.0,4.1,0.0,0.0,0.0,115.0,1.0,1.0,0.84,0.85
13,2013,Winfield,1001.0,7.75,25.59,500.0,41875.0,83100.0,22.5,95.5,0.0,4.1,0.0,0.0,0.0,115.0,0.0,0.0,0.0,0.0
14,2014,Winfield,1001.0,7.75,25.59,500.0,41875.0,83100.0,22.5,95.5,0.0,4.1,0.0,0.0,0.0,115.0,1.0,1.0,0.0,0.85
15,2015,Winfield,1001.0,7.75,25.59,500.0,41875.0,83100.0,22.5,95.5,0.0,4.1,0.0,0.0,0.0,116.0,2.0,2.0,1.68,1.68
16,2016,Winfield,1001.0,7.75,25.59,500.0,41875.0,83100.0,22.5,95.5,0.0,4.1,0.0,0.0,0.0,116.0,3.0,1.0,0.0,2.51
