,year,name,population,poverty-rate,pct-renter-occupied,median-gross-rent,median-household-income,median-property-value,rent-burden,pct-white,pct-af-am,pct-hispanic,pct-am-ind,pct-asian,pct-nh-pi,renter-occupied-households,eviction-filings,evictions,eviction-rate,eviction-filing-rate
0,2001,Mediapolis,1644.0,8.31,17.39,313.0,37857.0,77700.0,17.7,98.66,0.12,0.67,0.0,0.18,0.0,108.0,1.0,1.0,0.81,0.81
1,2002,Mediapolis,1644.0,8.31,17.39,313.0,37857.0,77700.0,17.7,98.66,0.12,0.67,0.0,0.18,0.0,108.0,1.0,1.0,0.01,0.01
2,2003,Mediapolis,1644.0,8.31,17.39,313.0,37857.0,77700.0,17.7,98.66,0.12,0.67,0.0,0.18,0.0,108.0,2.0,2.0,1.73,1.73
3,2004,Mediapolis,1644.0,8.31,17.39,313.0,37857.0,77700.0,17.7,98.66,0.12,0.67,0.0,0.18,0.0,109.0,3.0,3.0,2.43,2.43
4,2005,Mediapolis,1944.0,7.17,16.62,589.0,44940.0,92300.0,19.6,95.42,0.87,1.18,0.36,0.0,0.0,110.0,1.0,0.0,0.0,0.9
5,2006,Mediapolis,1944.0,7.17,16.62,589.0,44940.0,92300.0,19.6,95.42,0.87,1.18,0.36,0.0,0.0,111.0,1.0,1.0,0.01,0.01
6,2007,Mediapolis,1944.0,7.17,16.62,589.0,44940.0,92300.0,19.6,95.42,0.87,1.18,0.36,0.0,0.0,111.0,1.0,1.0,0.8,0.8
7,2008,Mediapolis,1944.0,7.17,16.62,589.0,44940.0,92300.0,19.6,95.42,0.87,1.18,0.36,0.0,0.0,111.0,1.0,1.0,0.88,0.88
8,2009,Mediapolis,1944.0,7.17,16.62,589.0,44940.0,92300.0,19.6,95.42,0.87,1.18,0.36,0.0,0.0,111.0,0.0,0.0,0.0,0.0
9,2010,Mediapolis,1560.0,6.35,17.99,488.0,46316.0,96000.0,22.9,97.76,0.32,0.96,0.13,0.0,0.0,111.0,0.0,0.0,0.0,0.0
10,2011,Mediapolis,1342.0,5.95,22.24,563.0,50333.0,93100.0,26.4,95.08,2.24,1.64,0.0,0.0,0.0,114.0,3.0,2.0,1.72,2.49
11,2012,Mediapolis,1342.0,5.95,22.24,563.0,50333.0,93100.0,26.4,95.08,2.24,1.64,0.0,0.0,0.0,117.0,1.0,1.0,0.01,0.76
12,2013,Mediapolis,1342.0,5.95,22.24,563.0,50333.0,93100.0,26.4,95.08,2.24,1.64,0.0,0.0,0.0,120.0,2.0,2.0,1.46,1.46
13,2014,Mediapolis,1342.0,5.95,22.24,563.0,50333.0,93100.0,26.4,95.08,2.24,1.64,0.0,0.0,0.0,122.0,0.0,0.0,0.0,0.0
14,2015,Mediapolis,1342.0,5.95,22.24,563.0,50333.0,93100.0,26.4,95.08,2.24,1.64,0.0,0.0,0.0,126.0,1.0,1.0,0.02,0.81
15,2016,Mediapolis,1342.0,5.95,22.24,563.0,50333.0,93100.0,26.4,95.08,2.24,1.64,0.0,0.0,0.0,129.0,4.0,2.0,1.45,3.5
