,year,name,population,poverty-rate,pct-renter-occupied,median-gross-rent,median-household-income,median-property-value,rent-burden,pct-white,pct-af-am,pct-hispanic,pct-am-ind,pct-asian,pct-nh-pi,renter-occupied-households,eviction-filings,evictions,eviction-rate,eviction-filing-rate
0,2000,Olin,716.0,11.24,21.65,394.0,33906.0,65500.0,22.8,97.07,0.42,1.26,0.28,0.0,0.0,67.0,0.0,0.0,0.0,0.0
1,2001,Olin,716.0,11.24,21.65,394.0,33906.0,65500.0,22.8,97.07,0.42,1.26,0.28,0.0,0.0,67.0,1.0,0.0,0.0,1.12
2,2002,Olin,716.0,11.24,21.65,394.0,33906.0,65500.0,22.8,97.07,0.42,1.26,0.28,0.0,0.0,68.0,0.0,0.0,0.0,0.0
3,2003,Olin,716.0,11.24,21.65,394.0,33906.0,65500.0,22.8,97.07,0.42,1.26,0.28,0.0,0.0,70.0,2.0,1.0,1.09,2.17
4,2004,Olin,716.0,11.24,21.65,394.0,33906.0,65500.0,22.8,97.07,0.42,1.26,0.28,0.0,0.0,70.0,1.0,1.0,1.08,1.08
5,2005,Olin,652.0,14.53,28.3,456.0,32313.0,73100.0,24.6,98.31,0.0,0.0,0.0,0.92,0.0,71.0,0.0,0.0,0.0,0.0
6,2006,Olin,652.0,14.53,28.3,456.0,32313.0,73100.0,24.6,98.31,0.0,0.0,0.0,0.92,0.0,72.0,0.0,0.0,0.0,0.0
7,2007,Olin,652.0,14.53,28.3,456.0,32313.0,73100.0,24.6,98.31,0.0,0.0,0.0,0.92,0.0,73.0,1.0,1.0,1.04,1.04
8,2008,Olin,652.0,14.53,28.3,456.0,32313.0,73100.0,24.6,98.31,0.0,0.0,0.0,0.92,0.0,74.0,0.0,0.0,0.0,0.0
9,2009,Olin,652.0,14.53,28.3,456.0,32313.0,73100.0,24.6,98.31,0.0,0.0,0.0,0.92,0.0,75.0,1.0,1.0,1.01,1.01
10,2010,Olin,698.0,6.19,27.8,542.0,41250.0,76400.0,24.1,95.85,1.15,1.58,0.14,1.0,0.0,76.0,0.0,0.0,0.0,0.0
11,2011,Olin,718.0,13.73,31.19,657.0,40179.0,84400.0,28.2,97.21,0.0,0.42,0.0,0.84,0.0,76.0,1.0,1.0,0.99,0.99
12,2012,Olin,718.0,13.73,31.19,657.0,40179.0,84400.0,28.2,97.21,0.0,0.42,0.0,0.84,0.0,77.0,1.0,0.0,0.0,0.98
13,2013,Olin,718.0,13.73,31.19,657.0,40179.0,84400.0,28.2,97.21,0.0,0.42,0.0,0.84,0.0,78.0,1.0,1.0,0.97,0.97
14,2014,Olin,718.0,13.73,31.19,657.0,40179.0,84400.0,28.2,97.21,0.0,0.42,0.0,0.84,0.0,78.0,1.0,1.0,0.97,0.97
15,2015,Olin,718.0,13.73,31.19,657.0,40179.0,84400.0,28.2,97.21,0.0,0.42,0.0,0.84,0.0,79.0,1.0,1.0,0.96,0.96
16,2016,Olin,718.0,13.73,31.19,657.0,40179.0,84400.0,28.2,97.21,0.0,0.42,0.0,0.84,0.0,79.0,2.0,2.0,2.86,2.86
