,year,name,population,poverty-rate,pct-renter-occupied,median-gross-rent,median-household-income,median-property-value,rent-burden,pct-white,pct-af-am,pct-hispanic,pct-am-ind,pct-asian,pct-nh-pi,renter-occupied-households,eviction-filings,evictions,eviction-rate,eviction-filing-rate
0,2000,Dumont,676.0,8.69,21.33,346.0,27708.0,33300.0,19.7,97.78,0.3,1.48,0.0,0.15,0.15,62.0,0.0,0.0,0.0,0.0
1,2001,Dumont,676.0,8.69,21.33,346.0,27708.0,33300.0,19.7,97.78,0.3,1.48,0.0,0.15,0.15,62.0,1.0,1.0,1.52,1.52
2,2002,Dumont,676.0,8.69,21.33,346.0,27708.0,33300.0,19.7,97.78,0.3,1.48,0.0,0.15,0.15,62.0,0.0,0.0,0.0,0.0
3,2003,Dumont,676.0,8.69,21.33,346.0,27708.0,33300.0,19.7,97.78,0.3,1.48,0.0,0.15,0.15,62.0,0.0,0.0,0.0,0.0
4,2004,Dumont,676.0,8.69,21.33,346.0,27708.0,33300.0,19.7,97.78,0.3,1.48,0.0,0.15,0.15,62.0,0.0,0.0,0.0,0.0
5,2005,Dumont,745.0,12.31,19.05,339.0,34750.0,53000.0,24.5,96.78,0.0,2.82,0.0,0.0,0.0,62.0,1.0,1.0,1.52,1.52
6,2006,Dumont,745.0,12.31,19.05,339.0,34750.0,53000.0,24.5,96.78,0.0,2.82,0.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0
7,2007,Dumont,745.0,12.31,19.05,339.0,34750.0,53000.0,24.5,96.78,0.0,2.82,0.0,0.0,0.0,61.0,1.0,1.0,1.54,1.54
8,2008,Dumont,745.0,12.31,19.05,339.0,34750.0,53000.0,24.5,96.78,0.0,2.82,0.0,0.0,0.0,61.0,1.0,1.0,1.54,1.54
9,2009,Dumont,745.0,12.31,19.05,339.0,34750.0,53000.0,24.5,96.78,0.0,2.82,0.0,0.0,0.0,61.0,1.0,1.0,1.54,1.54
10,2010,Dumont,637.0,17.87,22.06,391.0,40298.0,62900.0,30.9,96.39,0.0,3.3,0.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0
11,2011,Dumont,734.0,11.4,23.86,593.0,47917.0,59500.0,22.5,95.78,0.0,4.22,0.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0
12,2012,Dumont,734.0,11.4,23.86,593.0,47917.0,59500.0,22.5,95.78,0.0,4.22,0.0,0.0,0.0,62.0,0.0,0.0,0.0,0.0
13,2013,Dumont,734.0,11.4,23.86,593.0,47917.0,59500.0,22.5,95.78,0.0,4.22,0.0,0.0,0.0,62.0,0.0,0.0,0.0,0.0
14,2014,Dumont,734.0,11.4,23.86,593.0,47917.0,59500.0,22.5,95.78,0.0,4.22,0.0,0.0,0.0,62.0,2.0,1.0,1.52,3.03
15,2015,Dumont,734.0,11.4,23.86,593.0,47917.0,59500.0,22.5,95.78,0.0,4.22,0.0,0.0,0.0,63.0,2.0,1.0,1.49,2.99
16,2016,Dumont,734.0,11.4,23.86,593.0,47917.0,59500.0,22.5,95.78,0.0,4.22,0.0,0.0,0.0,63.0,2.0,1.0,1.49,2.99
