GEOID,year,name,parent-location,population,poverty-rate,pct-renter-occupied,median-gross-rent,median-household-income,median-property-value,rent-burden,pct-white,pct-af-am,pct-hispanic,pct-am-ind,pct-asian,pct-nh-pi,pct-multiple,pct-other,renter-occupied-households,eviction-filings,evictions,eviction-rate,eviction-filing-rate,imputed,subbed
19001960100,2000,9601.0,"Adair County, Iowa",2932.0,6.31,26.22,390.0,33790.0,68600.0,18.7,97.68,0.14,1.13,0.14,0.24,0.0,0.65,0.03,316.0,0.0,0.0,0.0,0.0,0,0
19001960100,2001,9601.0,"Adair County, Iowa",2932.0,6.31,26.22,390.0,33790.0,68600.0,18.7,97.68,0.14,1.13,0.14,0.24,0.0,0.65,0.03,312.0,0.0,0.0,0.0,0.0,0,0
19001960100,2002,9601.0,"Adair County, Iowa",2932.0,6.31,26.22,390.0,33790.0,68600.0,18.7,97.68,0.14,1.13,0.14,0.24,0.0,0.65,0.03,308.0,4.0,4.0,1.3,1.3,0,0
19001960100,2003,9601.0,"Adair County, Iowa",2932.0,6.31,26.22,390.0,33790.0,68600.0,18.7,97.68,0.14,1.13,0.14,0.24,0.0,0.65,0.03,304.0,3.0,3.0,0.99,0.99,0,0
19001960100,2004,9601.0,"Adair County, Iowa",2932.0,6.31,26.22,390.0,33790.0,68600.0,18.7,97.68,0.14,1.13,0.14,0.24,0.0,0.65,0.03,300.0,0.0,0.0,0.0,0.0,0,0
19001960100,2005,9601.0,"Adair County, Iowa",2916.0,1.78,30.59,393.0,41098.0,104400.0,26.6,97.36,0.0,0.24,0.27,0.0,0.0,2.13,0.0,297.0,7.0,5.0,1.69,2.36,0,0
19001960100,2006,9601.0,"Adair County, Iowa",2916.0,1.78,30.59,393.0,41098.0,104400.0,26.6,97.36,0.0,0.24,0.27,0.0,0.0,2.13,0.0,293.0,3.0,3.0,1.03,1.03,0,0
19001960100,2007,9601.0,"Adair County, Iowa",2916.0,1.78,30.59,393.0,41098.0,104400.0,26.6,97.36,0.0,0.24,0.27,0.0,0.0,2.13,0.0,289.0,1.0,1.0,0.35,0.35,0,0
19001960100,2008,9601.0,"Adair County, Iowa",2916.0,1.78,30.59,393.0,41098.0,104400.0,26.6,97.36,0.0,0.24,0.27,0.0,0.0,2.13,0.0,285.0,2.0,2.0,0.7,0.7,0,0
19001960100,2009,9601.0,"Adair County, Iowa",2916.0,1.78,30.59,393.0,41098.0,104400.0,26.6,97.36,0.0,0.24,0.27,0.0,0.0,2.13,0.0,281.0,1.0,1.0,0.36,0.36,0,0
19001960200,2000,9602.0,"Adair County, Iowa",2092.0,7.74,25.47,411.0,39196.0,44800.0,15.6,98.76,0.05,0.57,0.1,0.19,0.0,0.33,0.0,205.0,0.0,0.0,0.0,0.0,0,0
19001960200,2001,9602.0,"Adair County, Iowa",2092.0,7.74,25.47,411.0,39196.0,44800.0,15.6,98.76,0.05,0.57,0.1,0.19,0.0,0.33,0.0,202.0,1.0,1.0,0.5,0.5,0,0
