,index,0
115,"Fairfax, IA",-91.755393
116,"Center Point, IA",-91.71521399999999
117,"Springville, IA",-91.550489
118,"Lisbon, IA",-91.366055
119,"West Union, IA",-91.80823
120,"Oelwein, IA",-91.91046899999999
121,"Waucoma, IA",-92.081497
122,"Floyd, IA",-92.810152
123,"Charles City, IA",-92.713044
124,"Sheffield, IA",-93.23162599999999
125,"Hampton, IA",-93.26186299999999
126,"Hamburg, IA",-95.83734540376359
127,"Jefferson, IA",-94.396575
128,"Dike, IA",-92.641747
129,"Wellsburg, IA",-92.886049
130,"Grundy Center, IA",-92.771261
131,"Guthrie Center, IA",-94.512475
132,"Stuart, IA",-94.32817399999999
133,"Jewell Junction, IA",-93.65944999999999
134,"Webster City, IA",-93.858075
135,"Garner, IA",-93.604688
136,"Klemme, IA",-93.616314
137,"Britt, IA",-93.788917
138,"Ackley, IA",-92.97688099999999
139,"Iowa Falls, IA",-93.263651
140,"Roland, IA",-93.452529
141,"Eldora, IA",-93.07990000000001
142,"Little Sioux, IA",-96.1092490644499
143,"Logan, IA",-95.774906
144,"Missouri Valley, IA",-95.99617450065989
145,"Winfield, IA",-91.485717
146,"Mount Pleasant, IA",-91.544705
147,"Cresco, IA",-92.08003
148,"Elma, IA",-92.43592
149,"Ottosen, IA",-94.442956
150,"Humboldt, IA",-94.257674
151,"Ida Grove, IA",-95.474105
152,"Marengo, IA",-92.019615
153,"Williamsburg, IA",-92.02457
154,"Bellevue, IA",-90.41881754922149
155,"Maquoketa, IA",-90.665261
156,"Kellogg, IA",-92.88332
157,"Baxter, IA",-93.105986
158,"Lambs Grove, IA",-93.06764899999999
159,"Newton, IA",-93.057968
160,"Prairie City, IA",-93.20782899999999
161,"Eldon, IA",-92.2292
162,"Fairfield, IA",-91.946663
163,"Remsen, IA",-95.97784899999999
164,"Kingsley, IA",-95.957606
165,"Merrill, IA",-96.331035
166,"Laurens, IA",-94.91386
167,"Fonda, IA",-94.855389
168,"Pleasant Hill, IA",-93.472894
169,"Des Moines, IA",-93.619901
170,"Windsor Heights, IA",-93.736229
171,"Johnston, IA",-93.685717
172,"West Des Moines, IA",-93.721068
173,"Norwalk, IA",-93.712396
174,"Ankeny, IA",-93.576004
175,"Urbandale, IA",-93.71100299999999
176,"Altoona, IA",-93.50309399999999
177,"Columbus Junction, IA",-91.360068
178,"Wapello, IA",-91.19578299999999
179,"Chariton, IA",-93.303393
180,"George, IA",-95.979142
181,"Rock Rapids, IA",-96.21401398013509
182,"Inwood, IA",-96.353445
183,"Winterset, IA",-94.018344
184,"Fremont, IA",-92.410817
185,"New Sharon, IA",-92.60357599999999
